source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score
Crizotinibe,0.0,SUS,CRIZOTINIBE,1970-01-01,2099-12-31,,40242675,RxNorm,1148495,Drug,0.6988471448421478
Cemiplimabe,0.0,SUS,Cemeiplimab,1970-01-01,2099-12-31,,35200783,RxNorm,2058826,Drug,0.9442542791366577
Atezolizumabe,0.0,SUS,Altezolizumab,1970-01-01,2099-12-31,,42629079,RxNorm,1792776,Drug,0.7104189991950989
Panitumumabe,0.0,SUS,Panitumumab,1970-01-01,2099-12-31,,19100985,RxNorm,263034,Drug,0.9999999999987019
Alfapoetina,0.0,SUS,Alfapoetin,1970-01-01,2099-12-31,,1301125,RxNorm,105694,Drug,0.5468154847621918
Docetaxel,0.0,SUS,Docetaxel,1970-01-01,2099-12-31,,1315942,RxNorm,72962,Drug,1.0
Cloridrato de irinotecano tri-hidratado,0.0,SUS,Trihydrate Irinotecan Hydrochloride,1970-01-01,2099-12-31,,1367268,RxNorm,51499,Drug,0.6843075454235077
Acetato de megestrol,0.0,SUS,Megestrol acetate,1970-01-01,2099-12-31,,1300978,RxNorm,6703,Drug,0.9999999999991923
Ácido Trans-retinoico,0.0,SUS,Transretinoic acid,1970-01-01,2099-12-31,,903643,RxNorm,10753,Drug,0.490662157535553
Ditosilato de lapatinibe,0.0,SUS,Lapatinib,1970-01-01,2099-12-31,,1359548,RxNorm,480167,Drug,0.9999999999992697
Leucovorin,0.0,SUS,Leucovorin,1970-01-01,2099-12-31,,1388796,RxNorm,6313,Drug,0.9999999999992054
Ácido zoledrônico monoidratado,0.0,SUS,Monohydrate zoledronic acid,1970-01-01,2099-12-31,,44808233,SNOMED,848351000000106,Observation,0.6126283705234528
Sulfato de vimblastina,0.0,SUS,Vimblastine sulfate,1970-01-01,2099-12-31,,19008264,RxNorm,11198,Drug,0.8609817326068878
Tacrolimo monoidratado,0.0,SUS,Monohydrate tacrolimo,1970-01-01,2099-12-31,,950637,RxNorm,42316,Drug,0.583982527256012
Fosfato de fludarabina,0.0,SUS,Fludarabine phosphate,1970-01-01,2099-12-31,,1395557,RxNorm,24698,Drug,0.9999999999980599
Clorambucila,0.0,SUS,Chlorambucila,1970-01-01,2099-12-31,,1390051,RxNorm,2346,Drug,0.7365139424800873
Sulfato de selumetinibe,0.0,SUS,Selumetinib Sulphate,1970-01-01,2099-12-31,,37499520,RxNorm,2289380,Drug,0.8950149044394493
Fotemustina,0.0,SUS,Photemustine,1970-01-01,2099-12-31,,1391846,RxNorm,6466,Drug,0.48143720626831055
Tioguanina,0.0,SUS,Thioguanin,1970-01-01,2099-12-31,,1437379,RxNorm,10485,Drug,0.8621423840522766
Mesilato de imatinibe,0.0,SUS,Imatinibe mesylate,1970-01-01,2099-12-31,,1304107,RxNorm,282388,Drug,0.46609336137771606
Cloridrato de tepotinibe monoidratado,0.0,SUS,Monohydrate tePotinib Hydrochloride,1970-01-01,2099-12-31,,739739,RxNorm,2477103,Drug,0.6858856081962585
Brigatinibe,0.0,SUS,Brigatinibe,1970-01-01,2099-12-31,,1594187,RxNorm,1921217,Drug,0.5702967643737793
Esilato de nintedanibe,0.0,SUS,Nintedanib,1970-01-01,2099-12-31,,45775396,RxNorm,1592737,Drug,0.9999999999990462
Sulfato de bleomicina,0.0,SUS,Bleomycin sulfate,1970-01-01,2099-12-31,,1329241,RxNorm,1622,Drug,0.9999999999990545
Flutamida,0.0,SUS,Flutamide,1970-01-01,2099-12-31,,1356461,RxNorm,4508,Drug,0.9508745148777962
Blinatumomabe,0.0,SUS,Blinatumomab,1970-01-01,2099-12-31,,45892531,RxNorm,1597258,Drug,1.0
Moxetumomabe pasudotox,0.0,SUS,MOXETUMOMABE PASDOTOX,1970-01-01,2099-12-31,,,,,,1.0
Exemestano,0.0,SUS,Example,1970-01-01,2099-12-31,,4048506,SNOMED,123038009,Specimen,0.12805259227752686
Decitabina,0.0,SUS,Decitabine,1970-01-01,2099-12-31,,19024728,RxNorm,15657,Drug,0.9999999999990856
Trastuzumabe,0.0,SUS,Trastuzumab,1970-01-01,2099-12-31,,1387104,RxNorm,224905,Drug,0.9999999999993191
Cloridrato de idarrubicina,0.0,SUS,Idarrubicin Hydrochloride,1970-01-01,2099-12-31,,19078097,RxNorm,5650,Drug,0.931657686829567
Avelumabe,0.0,SUS,Avelumab,1970-01-01,2099-12-31,,1593273,RxNorm,1875534,Drug,0.9999999999993215
Vinorelbina,0.0,SUS,Vinorelbine,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.9999999999992691
Erdafitinibe,0.0,SUS,ErdaFitinib,1970-01-01,2099-12-31,,1511250,RxNorm,2123125,Drug,0.9402928240597248
Hemitartarato de vinorelbina,0.0,SUS,Vinorelbine hemitatar,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.4627183675765991
Melfalana,0.0,SUS,Mellphalana,1970-01-01,2099-12-31,,1301267,RxNorm,6718,Drug,0.6775619089603424
Ciclofosfamida monoidratada,0.0,SUS,Monohydrate cyclophosphamide,1970-01-01,2099-12-31,,1310317,RxNorm,3002,Drug,0.850695475935936
Hemifumarato de cobimetinibe,0.0,SUS,Cobimetinib hemifumarate,1970-01-01,2099-12-31,,35605804,RxNorm,1722365,Drug,0.9999999999987429
Nilotinibe,0.0,SUS,Nilotinib,1970-01-01,2099-12-31,,1394023,RxNorm,662281,Drug,0.9999999999963421
Ditartarato de vinorelbina,0.0,SUS,Vinorelbine dictate,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.5171170234680176
Acalabrutinibe,0.0,SUS,ABAILABRUTINIBE,1970-01-01,2099-12-31,,40239056,RxNorm,1100072,Drug,0.36968761682510376
Pemetrexede,0.0,SUS,Pemetrexe,1970-01-01,2099-12-31,,1304919,RxNorm,68446,Drug,0.7167928814888
Asparaginase,0.0,SUS,Asparaginase,1970-01-01,2099-12-31,,19012585,RxNorm,1156,Drug,0.9999999999987588
Mitomicina,0.0,SUS,Mitomycin,1970-01-01,2099-12-31,,1389036,RxNorm,632,Drug,1.0
Palbociclibe,0.0,SUS,Palbocyclibe,1970-01-01,2099-12-31,,45892075,RxNorm,1601374,Drug,0.5885419845581055
Pembrolizumabe,0.0,SUS,Pembrolizumab,1970-01-01,2099-12-31,,45775965,RxNorm,1547545,Drug,0.9999999999990656
Dasatinibe,0.0,SUS,Dasatinib,1970-01-01,2099-12-31,,1358436,RxNorm,475342,Drug,0.9999999999992462
Mitotano,0.0,SUS,Mitotane,1970-01-01,2099-12-31,,1309161,RxNorm,7004,Drug,0.9999999999993887
Mesna,0.0,SUS,Menna,1970-01-01,2099-12-31,,44792785,SNOMED,368221000000100,Observation,0.5344243049621582
Malato de sunitinibe,0.0,SUS,Sunitinibe Malato,1970-01-01,2099-12-31,,1336539,RxNorm,357977,Drug,0.3783252239227295
Mifamurtida,0.0,SUS,Myphamurt,1970-01-01,2099-12-31,,4288589,SNOMED,68649003,Observation,0.4285694360733032
Fluoruracila,0.0,SUS,Fluoruracil,1970-01-01,2099-12-31,,955632,RxNorm,4492,Drug,0.9110105559229851
Vinflunina,0.0,SUS,Vinflunin,1970-01-01,2099-12-31,,19096546,RxNorm,25121,Drug,0.545973002910614
Dimetilsulfóxido de trametinibe,0.0,SUS,Trametinib,1970-01-01,2099-12-31,,43532497,RxNorm,1425099,Drug,0.9999999999992292
Hidroxiureia,0.0,SUS,Hydroxyurea,1970-01-01,2099-12-31,,1377141,RxNorm,5552,Drug,0.9999999999992473
Cloridrato de anagrelida,0.0,SUS,Anagrelida Hydrochloride,1970-01-01,2099-12-31,,1381253,RxNorm,596724,Drug,0.9192293956875801
Gefitinibe,0.0,SUS,GEFITINIBE,1970-01-01,2099-12-31,,45775396,RxNorm,1592737,Drug,0.3924347758293152
Axitinibe,0.0,SUS,Axitinib,1970-01-01,2099-12-31,,42709322,RxNorm,1242999,Drug,0.9999999999993818
Lorlatinibe,0.0,SUS,Lorlatinib,1970-01-01,2099-12-31,,35201733,RxNorm,2103164,Drug,0.9999999999990994
Cloridrato de ponatinibe,0.0,SUS,Ponatinibe Hydrochloride,1970-01-01,2099-12-31,,43013182,RxNorm,1364347,Drug,0.8242677748203278
Bevacizumabe,0.0,SUS,Bevacizumab,1970-01-01,2099-12-31,,1397141,RxNorm,253337,Drug,1.0
Rituximabe,0.0,SUS,Rituximab,1970-01-01,2099-12-31,,1314273,RxNorm,121191,Drug,1.0
Dactinomicina,0.0,SUS,Dactinomycin,1970-01-01,2099-12-31,,1311443,RxNorm,3100,Drug,0.9999999999982503
Vemurafenibe,0.0,SUS,Vemurafenib,1970-01-01,2099-12-31,,40241937,RxNorm,1147220,Drug,0.9999999999989991
Cloridrato de daunorrubicina,0.0,SUS,Daunorrubicin Hydrochloride,1970-01-01,2099-12-31,,1311799,RxNorm,3109,Drug,0.6444151401519775
Cloridrato de alectinibe,0.0,SUS,Alectinib Hydrochloride,1970-01-01,2099-12-31,,35604657,RxNorm,1727455,Drug,0.9630535021424294
Maleato de neratinibe,0.0,SUS,Neratinibe Maleato,1970-01-01,2099-12-31,,793846,RxNorm,1940643,Drug,0.41713082790374756
Prenidsolona,0.0,SUS,Prenidsolona,1970-01-01,2099-12-31,,1550557,RxNorm,8638,Drug,0.4805298447608948
Pemetrexede dissódico,0.0,SUS,Disodium,1970-01-01,2099-12-31,,991710,RxNorm,236719,Drug,0.7506063133478165
Baricitinibe,0.0,SUS,Baricitinib,1970-01-01,2099-12-31,,1510627,RxNorm,2047232,Drug,0.9999999999993827
Tosilato de sorafenibe,0.0,SUS,Sorafenib,1970-01-01,2099-12-31,,1035025,LOINC,LA30248-1,Meas Value,0.9999999999988022
Talidomida,0.0,SUS,Talidomide,1970-01-01,2099-12-31,,19137042,RxNorm,10432,Drug,0.8069155067205429
Zanubrutinibe,0.0,SUS,ZANUBRUTINIBE,1970-01-01,2099-12-31,,36026750,RxNorm,2534233,Drug,0.2903013229370117
Cloridrato de doxorrubicina,0.0,SUS,Doxorubicin Hydrochloride,1970-01-01,2099-12-31,,1338512,RxNorm,3639,Drug,0.9594098590314388
Capecitabina,0.0,SUS,Capecitabine,1970-01-01,2099-12-31,,1337620,RxNorm,194000,Drug,0.9499925002455711
Pegaspargase,0.0,SUS,Pegaspargasis,1970-01-01,2099-12-31,,1326481,RxNorm,34132,Drug,0.8527035415172577
