source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score
Crizotinibe,0.0,SUS,CRIZOTINIBE,1970-01-01,2099-12-31,nan,40242675,RxNorm,1148495,Drug,0.8567396402359009
Cemiplimabe,0.0,SUS,Cemeiplimab,1970-01-01,2099-12-31,nan,35200783,RxNorm,2058826,Drug,0.8886000886559486
Atezolizumabe,0.0,SUS,Altezolizumab,1970-01-01,2099-12-31,nan,42629079,RxNorm,1792776,Drug,0.6000314950942993
Panitumumabe,0.0,SUS,Panitumumab,1970-01-01,2099-12-31,nan,19100985,RxNorm,263034,Drug,1.0
Alfapoetina,0.0,SUS,Alfapoetin,1970-01-01,2099-12-31,nan,1301125,RxNorm,105694,Drug,0.7012902200222015
Docetaxel,0.0,SUS,Docetaxel,1970-01-01,2099-12-31,nan,1315942,RxNorm,72962,Drug,1.0
Cloridrato de irinotecano tri-hidratado,0.0,SUS,Trihydrate Irinotecan Hydrochloride,1970-01-01,2099-12-31,nan,35604257,RxNorm,1726322,Drug,0.753582090139389
Acetato de megestrol,0.0,SUS,Megestrol acetate,1970-01-01,2099-12-31,nan,1300978,RxNorm,6703,Drug,1.0
Ácido Trans-retinoico,0.0,SUS,Transretinoic acid,1970-01-01,2099-12-31,nan,903643,RxNorm,10753,Drug,0.633609801530838
Ditosilato de lapatinibe,0.0,SUS,Lapatinib,1970-01-01,2099-12-31,nan,1359548,RxNorm,480167,Drug,1.0
Leucovorin,0.0,SUS,Leucovorin,1970-01-01,2099-12-31,nan,1388796,RxNorm,6313,Drug,1.0
Ácido zoledrônico monoidratado,0.0,SUS,Monohydrate zoledronic acid,1970-01-01,2099-12-31,nan,44808233,SNOMED,848351000000106,Observation,0.7122813761234283
Sulfato de vimblastina,0.0,SUS,Vimblastine sulfate,1970-01-01,2099-12-31,nan,19008264,RxNorm,11198,Drug,0.8535299599170685
Tacrolimo monoidratado,0.0,SUS,Monohydrate tacrolimo,1970-01-01,2099-12-31,nan,950637,RxNorm,42316,Drug,0.8375242799520493
Fosfato de fludarabina,0.0,SUS,Fludarabine phosphate,1970-01-01,2099-12-31,nan,1395557,RxNorm,24698,Drug,1.0
Clorambucila,0.0,SUS,Chlorambucila,1970-01-01,2099-12-31,nan,1390051,RxNorm,2346,Drug,0.8769926652312279
Sulfato de selumetinibe,0.0,SUS,Selumetinib Sulphate,1970-01-01,2099-12-31,nan,37499520,RxNorm,2289380,Drug,0.9464631415903568
Fotemustina,0.0,SUS,Photemustine,1970-01-01,2099-12-31,nan,,,,,1.0
Tioguanina,0.0,SUS,Thioguanin,1970-01-01,2099-12-31,nan,1437379,RxNorm,10485,Drug,0.9255380928516388
Mesilato de imatinibe,0.0,SUS,Imatinibe mesylate,1970-01-01,2099-12-31,nan,1304107,RxNorm,282388,Drug,0.764224961400032
Cloridrato de tepotinibe monoidratado,0.0,SUS,Monohydrate tePotinib Hydrochloride,1970-01-01,2099-12-31,nan,739739,RxNorm,2477103,Drug,0.8044173121452332
Brigatinibe,0.0,SUS,Brigatinibe,1970-01-01,2099-12-31,nan,37003531,RxNorm,2471078,Drug,0.4194636344909668
Esilato de nintedanibe,0.0,SUS,Nintedanib,1970-01-01,2099-12-31,nan,45775396,RxNorm,1592737,Drug,1.0
Sulfato de bleomicina,0.0,SUS,Bleomycin sulfate,1970-01-01,2099-12-31,nan,1329241,RxNorm,1622,Drug,1.0
Flutamida,0.0,SUS,Flutamide,1970-01-01,2099-12-31,nan,1356461,RxNorm,4508,Drug,1.0
Blinatumomabe,0.0,SUS,Blinatumomab,1970-01-01,2099-12-31,nan,45892531,RxNorm,1597258,Drug,1.0
Moxetumomabe pasudotox,0.0,SUS,MOXETUMOMABE PASDOTOX,1970-01-01,2099-12-31,nan,35200995,RxNorm,2099295,Drug,0.8219632506370544
Exemestano,0.0,SUS,Example,1970-01-01,2099-12-31,nan,45883564,LOINC,LA15331-4,Meas Value,0.37963902950286865
Decitabina,0.0,SUS,Decitabine,1970-01-01,2099-12-31,nan,19024728,RxNorm,15657,Drug,1.0
Trastuzumabe,0.0,SUS,Trastuzumab,1970-01-01,2099-12-31,nan,1387104,RxNorm,224905,Drug,1.0
Cloridrato de idarrubicina,0.0,SUS,Idarrubicin Hydrochloride,1970-01-01,2099-12-31,nan,19078097,RxNorm,5650,Drug,0.8505261242389679
Avelumabe,0.0,SUS,Avelumab,1970-01-01,2099-12-31,nan,1593273,RxNorm,1875534,Drug,1.0
Vinorelbina,0.0,SUS,Vinorelbine,1970-01-01,2099-12-31,nan,1343346,RxNorm,39541,Drug,1.0
Erdafitinibe,0.0,SUS,ErdaFitinib,1970-01-01,2099-12-31,nan,1511250,RxNorm,2123125,Drug,0.9169090762734413
Hemitartarato de vinorelbina,0.0,SUS,Vinorelbine hemitatar,1970-01-01,2099-12-31,nan,1343346,RxNorm,39541,Drug,0.8507875502109528
Melfalana,0.0,SUS,Mellphalana,1970-01-01,2099-12-31,nan,1301267,RxNorm,6718,Drug,0.5169207751750946
Ciclofosfamida monoidratada,0.0,SUS,Monohydrate cyclophosphamide,1970-01-01,2099-12-31,nan,1310317,RxNorm,3002,Drug,0.9272932559251785
Hemifumarato de cobimetinibe,0.0,SUS,Cobimetinib hemifumarate,1970-01-01,2099-12-31,nan,35605804,RxNorm,1722365,Drug,1.0
Nilotinibe,0.0,SUS,Nilotinib,1970-01-01,2099-12-31,nan,1394023,RxNorm,662281,Drug,1.0
Ditartarato de vinorelbina,0.0,SUS,Vinorelbine dictate,1970-01-01,2099-12-31,nan,1343346,RxNorm,39541,Drug,0.7473141252994537
Acalabrutinibe,0.0,SUS,ABAILABRUTINIBE,1970-01-01,2099-12-31,nan,,,,,1.0
Pemetrexede,0.0,SUS,Pemetrexe,1970-01-01,2099-12-31,nan,1304919,RxNorm,68446,Drug,0.5332940518856049
Asparaginase,0.0,SUS,Asparaginase,1970-01-01,2099-12-31,nan,19012585,RxNorm,1156,Drug,1.0
Mitomicina,0.0,SUS,Mitomycin,1970-01-01,2099-12-31,nan,1389036,RxNorm,632,Drug,1.0
Palbociclibe,0.0,SUS,Palbocyclibe,1970-01-01,2099-12-31,nan,45892075,RxNorm,1601374,Drug,0.5060096979141235
Pembrolizumabe,0.0,SUS,Pembrolizumab,1970-01-01,2099-12-31,nan,45775965,RxNorm,1547545,Drug,1.0
Dasatinibe,0.0,SUS,Dasatinib,1970-01-01,2099-12-31,nan,1358436,RxNorm,475342,Drug,1.0
Mitotano,0.0,SUS,Mitotane,1970-01-01,2099-12-31,nan,1309161,RxNorm,7004,Drug,1.0
Mesna,0.0,SUS,Menna,1970-01-01,2099-12-31,nan,4013441,SNOMED,103596005,Observation,0.4487892985343933
Malato de sunitinibe,0.0,SUS,Sunitinibe Malato,1970-01-01,2099-12-31,nan,1336539,RxNorm,357977,Drug,0.7555465698242188
Mifamurtida,0.0,SUS,Myphamurt,1970-01-01,2099-12-31,nan,4348448,SNOMED,243428001,Observation,0.40398746728897095
Fluoruracila,0.0,SUS,Fluoruracil,1970-01-01,2099-12-31,nan,955632,RxNorm,4492,Drug,0.9310714080929756
Vinflunina,0.0,SUS,Vinflunin,1970-01-01,2099-12-31,nan,,,,,1.0
Dimetilsulfóxido de trametinibe,0.0,SUS,Trametinib,1970-01-01,2099-12-31,nan,43532497,RxNorm,1425099,Drug,1.0
Hidroxiureia,0.0,SUS,Hydroxyurea,1970-01-01,2099-12-31,nan,1377141,RxNorm,5552,Drug,1.0
Cloridrato de anagrelida,0.0,SUS,Anagrelida Hydrochloride,1970-01-01,2099-12-31,nan,1381253,RxNorm,596724,Drug,0.7869134694337845
Gefitinibe,0.0,SUS,GEFITINIBE,1970-01-01,2099-12-31,nan,1319193,RxNorm,328134,Drug,0.8811562210321426
Axitinibe,0.0,SUS,Axitinib,1970-01-01,2099-12-31,nan,42709322,RxNorm,1242999,Drug,1.0
Lorlatinibe,0.0,SUS,Lorlatinib,1970-01-01,2099-12-31,nan,35201733,RxNorm,2103164,Drug,1.0
Cloridrato de ponatinibe,0.0,SUS,Ponatinibe Hydrochloride,1970-01-01,2099-12-31,nan,43013182,RxNorm,1364347,Drug,0.8048303425312042
Bevacizumabe,0.0,SUS,Bevacizumab,1970-01-01,2099-12-31,nan,1397141,RxNorm,253337,Drug,1.0
Rituximabe,0.0,SUS,Rituximab,1970-01-01,2099-12-31,nan,1314273,RxNorm,121191,Drug,1.0
Dactinomicina,0.0,SUS,Dactinomycin,1970-01-01,2099-12-31,nan,1311443,RxNorm,3100,Drug,1.0
Vemurafenibe,0.0,SUS,Vemurafenib,1970-01-01,2099-12-31,nan,40241937,RxNorm,1147220,Drug,1.0
Cloridrato de daunorrubicina,0.0,SUS,Daunorrubicin Hydrochloride,1970-01-01,2099-12-31,nan,1311799,RxNorm,3109,Drug,0.9609637893736362
Cloridrato de alectinibe,0.0,SUS,Alectinib Hydrochloride,1970-01-01,2099-12-31,nan,35604657,RxNorm,1727455,Drug,0.9628442451357841
Maleato de neratinibe,0.0,SUS,Neratinibe Maleato,1970-01-01,2099-12-31,nan,793846,RxNorm,1940643,Drug,0.7051203548908234
Prenidsolona,0.0,SUS,Prenidsolona,1970-01-01,2099-12-31,nan,1550557,RxNorm,8638,Drug,0.5464395582675934
Pemetrexede dissódico,0.0,SUS,Disodium,1970-01-01,2099-12-31,nan,,,,,1.0
Baricitinibe,0.0,SUS,Baricitinib,1970-01-01,2099-12-31,nan,1510627,RxNorm,2047232,Drug,1.0
Tosilato de sorafenibe,0.0,SUS,Sorafenib,1970-01-01,2099-12-31,nan,1363387,RxNorm,495881,Drug,1.0
Talidomida,0.0,SUS,Talidomide,1970-01-01,2099-12-31,nan,19137042,RxNorm,10432,Drug,0.9409217648208141
Zanubrutinibe,0.0,SUS,ZANUBRUTINIBE,1970-01-01,2099-12-31,nan,37497691,RxNorm,2262435,Drug,0.6199378371238708
Cloridrato de doxorrubicina,0.0,SUS,Doxorubicin Hydrochloride,1970-01-01,2099-12-31,nan,1338512,RxNorm,3639,Drug,0.9608062095940113
Capecitabina,0.0,SUS,Capecitabine,1970-01-01,2099-12-31,nan,1337620,RxNorm,194000,Drug,1.0
Pegaspargase,0.0,SUS,Pegaspargasis,1970-01-01,2099-12-31,nan,1326481,RxNorm,34132,Drug,0.7125209867954254
Vandetanibe,0.0,SUS,Vandetanib,1970-01-01,2099-12-31,nan,40238052,RxNorm,1098413,Drug,1.0
Temozolamida,0.0,SUS,Temozolamide,1970-01-01,2099-12-31,nan,1341149,RxNorm,37776,Drug,0.8751722127199173
Ipilimumabe,0.0,SUS,Ipilimmab,1970-01-01,2099-12-31,nan,40238188,RxNorm,1094833,Drug,0.7956790179014206
Ibrutinibe,0.0,SUS,Ibrutinib,1970-01-01,2099-12-31,nan,44507848,RxNorm,1442981,Drug,1.0
Pamidronato dissódico,0.0,SUS,Disodium Pamidronate,1970-01-01,2099-12-31,nan,1511646,RxNorm,11473,Drug,0.9881329042837024
Venetoclax,0.0,SUS,Venetoclax,1970-01-01,2099-12-31,nan,35604205,RxNorm,1747556,Drug,1.0
OncoBCG,0.0,SUS,OncobCG,1970-01-01,2099-12-31,nan,,,,,1.0
Alfainterferona 2a,0.0,SUS,Alfainterferone 2a,1970-01-01,2099-12-31,nan,1379969,RxNorm,5879,Drug,0.7835589349269867
Docetaxel triidratado,0.0,SUS,Trihydrate Doctaxel,1970-01-01,2099-12-31,nan,1315942,RxNorm,72962,Drug,0.7048443257808685
Teniposídeo,0.0,SUS,Teniposide,1970-01-01,2099-12-31,nan,19136750,RxNorm,10362,Drug,1.0
Lanreotida,0.0,SUS,Lanreotide,1970-01-01,2099-12-31,nan,1503501,RxNorm,68092,Drug,1.0
Cetuximabe,0.0,SUS,Cetuximab,1970-01-01,2099-12-31,nan,1315411,RxNorm,318341,Drug,1.0
Alpelisibe,0.0,SUS,Alpelisib,1970-01-01,2099-12-31,nan,1396423,RxNorm,2169285,Drug,1.0
Carboplatina,0.0,SUS,Carboplatin,1970-01-01,2099-12-31,nan,1344905,RxNorm,40048,Drug,1.0
