source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score
Crizotinibe,0.0,SUS,CRIZOTINIBE,1970-01-01,2099-12-31,,40242675,RxNorm,1148495,Drug,1.0
Cemiplimabe,0.0,SUS,Cemeiplimab,1970-01-01,2099-12-31,,35200783,RxNorm,2058826,Drug,1.0
Atezolizumabe,0.0,SUS,Altezolizumab,1970-01-01,2099-12-31,,42629079,RxNorm,1792776,Drug,0.6000314950942993
Panitumumabe,0.0,SUS,Panitumumab,1970-01-01,2099-12-31,,19100985,RxNorm,263034,Drug,1.0
Alfapoetina,0.0,SUS,Alfapoetin,1970-01-01,2099-12-31,,4137015,SNOMED,263660008,Meas Value,0.45688772201538086
Docetaxel,0.0,SUS,Docetaxel,1970-01-01,2099-12-31,,1315942,RxNorm,72962,Drug,1.0
Cloridrato de irinotecano tri-hidratado,0.0,SUS,Trihydrate Irinotecan Hydrochloride,1970-01-01,2099-12-31,,1367268,RxNorm,51499,Drug,0.7022314369678497
Acetato de megestrol,0.0,SUS,Megestrol acetate,1970-01-01,2099-12-31,,1300978,RxNorm,6703,Drug,0.9362558126449585
Ácido Trans-retinoico,0.0,SUS,Transretinoic acid,1970-01-01,2099-12-31,,903643,RxNorm,10753,Drug,0.7554400414228439
Ditosilato de lapatinibe,0.0,SUS,Lapatinib,1970-01-01,2099-12-31,,1359548,RxNorm,480167,Drug,1.0
Leucovorin,0.0,SUS,Leucovorin,1970-01-01,2099-12-31,,1388796,RxNorm,6313,Drug,1.0
Ácido zoledrônico monoidratado,0.0,SUS,Monohydrate zoledronic acid,1970-01-01,2099-12-31,,1524674,RxNorm,77655,Drug,0.7847050875425339
Sulfato de vimblastina,0.0,SUS,Vimblastine sulfate,1970-01-01,2099-12-31,,19008264,RxNorm,11198,Drug,1.0
Tacrolimo monoidratado,0.0,SUS,Monohydrate tacrolimo,1970-01-01,2099-12-31,,950637,RxNorm,42316,Drug,1.0
Fosfato de fludarabina,0.0,SUS,Fludarabine phosphate,1970-01-01,2099-12-31,,1395557,RxNorm,24698,Drug,0.9081876277923584
Clorambucila,0.0,SUS,Chlorambucila,1970-01-01,2099-12-31,,1390051,RxNorm,2346,Drug,1.0
Sulfato de selumetinibe,0.0,SUS,Selumetinib Sulphate,1970-01-01,2099-12-31,,37499520,RxNorm,2289380,Drug,0.9464631415903568
Fotemustina,0.0,SUS,Photemustine,1970-01-01,2099-12-31,,19135793,RxNorm,8637,Drug,0.6371702551841736
Tioguanina,0.0,SUS,Thioguanin,1970-01-01,2099-12-31,,1437379,RxNorm,10485,Drug,1.0
