source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score
Crizotinibe,0.0,SUS,CRIZOTINIBE,1970-01-01,2099-12-31,,40242675,RxNorm,1148495,Drug,0.7702719569206238
Cemiplimabe,0.0,SUS,Cemeiplimab,1970-01-01,2099-12-31,,35200783,RxNorm,2058826,Drug,0.8763710558414459
Atezolizumabe,0.0,SUS,Altezolizumab,1970-01-01,2099-12-31,,42629079,RxNorm,1792776,Drug,0.6000314950942993
Panitumumabe,0.0,SUS,Panitumumab,1970-01-01,2099-12-31,,19100985,RxNorm,263034,Drug,0.7707194983959198
Alfapoetina,0.0,SUS,Alfapoetin,1970-01-01,2099-12-31,,4137015,SNOMED,263660008,Meas Value,0.4709795117378235
Docetaxel,0.0,SUS,Docetaxel,1970-01-01,2099-12-31,,1315942,RxNorm,72962,Drug,0.7802989631891251
Cloridrato de irinotecano tri-hidratado,0.0,SUS,Trihydrate Irinotecan Hydrochloride,1970-01-01,2099-12-31,,35604257,RxNorm,1726322,Drug,0.753582090139389
Acetato de megestrol,0.0,SUS,Megestrol acetate,1970-01-01,2099-12-31,,1300978,RxNorm,6703,Drug,0.9920738814398646
Ácido Trans-retinoico,0.0,SUS,Transretinoic acid,1970-01-01,2099-12-31,,903643,RxNorm,10753,Drug,0.7554400414228439
Ditosilato de lapatinibe,0.0,SUS,Lapatinib,1970-01-01,2099-12-31,,1359548,RxNorm,480167,Drug,1.0
Leucovorin,0.0,SUS,Leucovorin,1970-01-01,2099-12-31,,1388796,RxNorm,6313,Drug,1.0
Ácido zoledrônico monoidratado,0.0,SUS,Monohydrate zoledronic acid,1970-01-01,2099-12-31,,1524674,RxNorm,77655,Drug,0.8353974521160126
Sulfato de vimblastina,0.0,SUS,Vimblastine sulfate,1970-01-01,2099-12-31,,19008264,RxNorm,11198,Drug,1.0
Tacrolimo monoidratado,0.0,SUS,Monohydrate tacrolimo,1970-01-01,2099-12-31,,950637,RxNorm,42316,Drug,0.8137705475091934
Fosfato de fludarabina,0.0,SUS,Fludarabine phosphate,1970-01-01,2099-12-31,,1395557,RxNorm,24698,Drug,0.8276790976524353
Clorambucila,0.0,SUS,Chlorambucila,1970-01-01,2099-12-31,,1390051,RxNorm,2346,Drug,0.802483469247818
Sulfato de selumetinibe,0.0,SUS,Selumetinib Sulphate,1970-01-01,2099-12-31,,37499520,RxNorm,2289380,Drug,0.9464631415903568
Fotemustina,0.0,SUS,Photemustine,1970-01-01,2099-12-31,,19135793,RxNorm,8637,Drug,0.6371702551841736
Tioguanina,0.0,SUS,Thioguanin,1970-01-01,2099-12-31,,1437379,RxNorm,10485,Drug,1.0
Mesilato de imatinibe,0.0,SUS,Imatinibe mesylate,1970-01-01,2099-12-31,,1304107,RxNorm,282388,Drug,1.0
Cloridrato de tepotinibe monoidratado,0.0,SUS,Monohydrate tePotinib Hydrochloride,1970-01-01,2099-12-31,,739739,RxNorm,2477103,Drug,0.8159834742546082
Brigatinibe,0.0,SUS,Brigatinibe,1970-01-01,2099-12-31,,1594187,RxNorm,1921217,Drug,0.8147914856672287
Esilato de nintedanibe,0.0,SUS,Nintedanib,1970-01-01,2099-12-31,,45775396,RxNorm,1592737,Drug,0.8062613159418106
Sulfato de bleomicina,0.0,SUS,Bleomycin sulfate,1970-01-01,2099-12-31,,1329241,RxNorm,1622,Drug,0.8772758468985558
Flutamida,0.0,SUS,Flutamide,1970-01-01,2099-12-31,,1356461,RxNorm,4508,Drug,0.8318084329366684
Blinatumomabe,0.0,SUS,Blinatumomab,1970-01-01,2099-12-31,,45892531,RxNorm,1597258,Drug,0.795870378613472
Moxetumomabe pasudotox,0.0,SUS,MOXETUMOMABE PASDOTOX,1970-01-01,2099-12-31,,35200995,RxNorm,2099295,Drug,0.831012099981308
Exemestano,0.0,SUS,Example,1970-01-01,2099-12-31,,4309788,SNOMED,8537005,Observation,0.4087125062942505
Decitabina,0.0,SUS,Decitabine,1970-01-01,2099-12-31,,19024728,RxNorm,15657,Drug,0.8844665810465813
Trastuzumabe,0.0,SUS,Trastuzumab,1970-01-01,2099-12-31,,1387104,RxNorm,224905,Drug,1.0
Cloridrato de idarrubicina,0.0,SUS,Idarrubicin Hydrochloride,1970-01-01,2099-12-31,,19078097,RxNorm,5650,Drug,0.9705948289483786
Avelumabe,0.0,SUS,Avelumab,1970-01-01,2099-12-31,,1593273,RxNorm,1875534,Drug,0.8020679354667664
Vinorelbina,0.0,SUS,Vinorelbine,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.8154225796461105
Erdafitinibe,0.0,SUS,ErdaFitinib,1970-01-01,2099-12-31,,1511250,RxNorm,2123125,Drug,0.9134330078959465
Hemitartarato de vinorelbina,0.0,SUS,Vinorelbine hemitatar,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.8918363153934479
Melfalana,0.0,SUS,Mellphalana,1970-01-01,2099-12-31,,1301267,RxNorm,6718,Drug,0.5169207751750946
Ciclofosfamida monoidratada,0.0,SUS,Monohydrate cyclophosphamide,1970-01-01,2099-12-31,,1310317,RxNorm,3002,Drug,0.8428075313568115
Hemifumarato de cobimetinibe,0.0,SUS,Cobimetinib hemifumarate,1970-01-01,2099-12-31,,35605804,RxNorm,1722365,Drug,1.0
Nilotinibe,0.0,SUS,Nilotinib,1970-01-01,2099-12-31,,1394023,RxNorm,662281,Drug,0.8603856861591339
Ditartarato de vinorelbina,0.0,SUS,Vinorelbine dictate,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.6472935378551483
Acalabrutinibe,0.0,SUS,ABAILABRUTINIBE,1970-01-01,2099-12-31,,46237026,LOINC,77194-9,Measurement,0.4180682301521301
Pemetrexede,0.0,SUS,Pemetrexe,1970-01-01,2099-12-31,,1304919,RxNorm,68446,Drug,0.4763604998588562
Asparaginase,0.0,SUS,Asparaginase,1970-01-01,2099-12-31,,19012585,RxNorm,1156,Drug,0.8274557441473007
Mitomicina,0.0,SUS,Mitomycin,1970-01-01,2099-12-31,,1389036,RxNorm,632,Drug,0.8502020984888077
Palbociclibe,0.0,SUS,Palbocyclibe,1970-01-01,2099-12-31,,45892075,RxNorm,1601374,Drug,0.9943667594343424
Pembrolizumabe,0.0,SUS,Pembrolizumab,1970-01-01,2099-12-31,,45775965,RxNorm,1547545,Drug,1.0
Dasatinibe,0.0,SUS,Dasatinib,1970-01-01,2099-12-31,,1358436,RxNorm,475342,Drug,0.7996824830770493
Mitotano,0.0,SUS,Mitotane,1970-01-01,2099-12-31,,1309161,RxNorm,7004,Drug,0.8486561626195908
Mesna,0.0,SUS,Menna,1970-01-01,2099-12-31,,4013441,SNOMED,103596005,Observation,0.4487892985343933
Malato de sunitinibe,0.0,SUS,Sunitinibe Malato,1970-01-01,2099-12-31,,1336627,RxNorm,616289,Drug,0.7231369316577911
Mifamurtida,0.0,SUS,Myphamurt,1970-01-01,2099-12-31,,4122571,SNOMED,289122001,Device,0.5458139181137085
Fluoruracila,0.0,SUS,Fluoruracil,1970-01-01,2099-12-31,,955632,RxNorm,4492,Drug,1.0
Vinflunina,0.0,SUS,Vinflunin,1970-01-01,2099-12-31,,19008264,RxNorm,11198,Drug,0.5415511429309845
Dimetilsulfóxido de trametinibe,0.0,SUS,Trametinib,1970-01-01,2099-12-31,,43532497,RxNorm,1425099,Drug,0.787173867225647
Hidroxiureia,0.0,SUS,Hydroxyurea,1970-01-01,2099-12-31,,1377141,RxNorm,5552,Drug,1.0
Cloridrato de anagrelida,0.0,SUS,Anagrelida Hydrochloride,1970-01-01,2099-12-31,,1381253,RxNorm,596724,Drug,0.9697847440838814
Gefitinibe,0.0,SUS,GEFITINIBE,1970-01-01,2099-12-31,,1319193,RxNorm,328134,Drug,0.7490658760070801
Axitinibe,0.0,SUS,Axitinib,1970-01-01,2099-12-31,,42709322,RxNorm,1242999,Drug,0.8832563385367393
Lorlatinibe,0.0,SUS,Lorlatinib,1970-01-01,2099-12-31,,35201733,RxNorm,2103164,Drug,0.8401761054992676
Cloridrato de ponatinibe,0.0,SUS,Ponatinibe Hydrochloride,1970-01-01,2099-12-31,,43013182,RxNorm,1364347,Drug,0.971858685836196
Bevacizumabe,0.0,SUS,Bevacizumab,1970-01-01,2099-12-31,,1397141,RxNorm,253337,Drug,0.691339522600174
Rituximabe,0.0,SUS,Rituximab,1970-01-01,2099-12-31,,1314273,RxNorm,121191,Drug,0.9914773367345333
Dactinomicina,0.0,SUS,Dactinomycin,1970-01-01,2099-12-31,,1311443,RxNorm,3100,Drug,0.8337392359972
Vemurafenibe,0.0,SUS,Vemurafenib,1970-01-01,2099-12-31,,40241937,RxNorm,1147220,Drug,0.9819840267300606
Cloridrato de daunorrubicina,0.0,SUS,Daunorrubicin Hydrochloride,1970-01-01,2099-12-31,,1311799,RxNorm,3109,Drug,0.9660870134830475
Cloridrato de alectinibe,0.0,SUS,Alectinib Hydrochloride,1970-01-01,2099-12-31,,35604657,RxNorm,1727455,Drug,0.9628442451357841
Maleato de neratinibe,0.0,SUS,Neratinibe Maleato,1970-01-01,2099-12-31,,793846,RxNorm,1940643,Drug,0.8862930610775948
Prenidsolona,0.0,SUS,Prenidsolona,1970-01-01,2099-12-31,,1550557,RxNorm,8638,Drug,1.0
Pemetrexede dissódico,0.0,SUS,Disodium,1970-01-01,2099-12-31,,4253188,SNOMED,74054001,Observation,0.6136118769645691
Baricitinibe,0.0,SUS,Baricitinib,1970-01-01,2099-12-31,,1510631,RxNorm,2047240,Drug,0.8171639144420624
Tosilato de sorafenibe,0.0,SUS,Sorafenib,1970-01-01,2099-12-31,,1363387,RxNorm,495881,Drug,1.0
Talidomida,0.0,SUS,Talidomide,1970-01-01,2099-12-31,,19137042,RxNorm,10432,Drug,0.7274388372898102
Zanubrutinibe,0.0,SUS,ZANUBRUTINIBE,1970-01-01,2099-12-31,,37497691,RxNorm,2262435,Drug,0.8481344282627106
Cloridrato de doxorrubicina,0.0,SUS,Doxorubicin Hydrochloride,1970-01-01,2099-12-31,,1338512,RxNorm,3639,Drug,0.9608062095940113
Capecitabina,0.0,SUS,Capecitabine,1970-01-01,2099-12-31,,1337620,RxNorm,194000,Drug,0.7761547416448593
Pegaspargase,0.0,SUS,Pegaspargasis,1970-01-01,2099-12-31,,1326481,RxNorm,34132,Drug,0.962812252342701
Vandetanibe,0.0,SUS,Vandetanib,1970-01-01,2099-12-31,,40238052,RxNorm,1098413,Drug,0.8387430012226105
Temozolamida,0.0,SUS,Temozolamide,1970-01-01,2099-12-31,,1341149,RxNorm,37776,Drug,0.8235541433095932
Ipilimumabe,0.0,SUS,Ipilimmab,1970-01-01,2099-12-31,,40238188,RxNorm,1094833,Drug,0.7254859805107117
Ibrutinibe,0.0,SUS,Ibrutinib,1970-01-01,2099-12-31,,44507848,RxNorm,1442981,Drug,0.7785396575927734
Pamidronato dissódico,0.0,SUS,Disodium Pamidronate,1970-01-01,2099-12-31,,1511646,RxNorm,11473,Drug,0.9881329042837024
Venetoclax,0.0,SUS,Venetoclax,1970-01-01,2099-12-31,,35604205,RxNorm,1747556,Drug,0.747158944606781
OncoBCG,0.0,SUS,OncobCG,1970-01-01,2099-12-31,,4250890,SNOMED,73987007,Observation,0.506355881690979
Alfainterferona 2a,0.0,SUS,Alfainterferone 2a,1970-01-01,2099-12-31,,1379969,RxNorm,5879,Drug,0.8731032609939575
Docetaxel triidratado,0.0,SUS,Trihydrate Doctaxel,1970-01-01,2099-12-31,,1315942,RxNorm,72962,Drug,0.6351111829280853
