source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score
Crizotinibe,0.0,SUS,CRIZOTINIBE,1970-01-01,2099-12-31,nan,40242675,RxNorm,1148495,Drug,0.6959457695484161
Cemiplimabe,0.0,SUS,Cemeiplimab,1970-01-01,2099-12-31,nan,35200783,RxNorm,2058826,Drug,0.7684279382228851
Atezolizumabe,0.0,SUS,Altezolizumab,1970-01-01,2099-12-31,nan,42629079,RxNorm,1792776,Drug,0.5696788728237152
Panitumumabe,0.0,SUS,Panitumumab,1970-01-01,2099-12-31,nan,19100985,RxNorm,263034,Drug,0.9994397622067481
Alfapoetina,0.0,SUS,Alfapoetin,1970-01-01,2099-12-31,nan,45879392,LOINC,LA18620-7,Meas Value,0.4864158630371094
Docetaxel,0.0,SUS,Docetaxel,1970-01-01,2099-12-31,nan,1315942,RxNorm,72962,Drug,0.999409879790619
Cloridrato de irinotecano tri-hidratado,0.0,SUS,Trihydrate Irinotecan Hydrochloride,1970-01-01,2099-12-31,nan,1367268,RxNorm,51499,Drug,0.6398184895515442
Acetato de megestrol,0.0,SUS,Megestrol acetate,1970-01-01,2099-12-31,nan,1300978,RxNorm,6703,Drug,0.9994050215464085
Ácido Trans-retinoico,0.0,SUS,Transretinoic acid,1970-01-01,2099-12-31,nan,903643,RxNorm,10753,Drug,0.6206005215644836
Ditosilato de lapatinibe,0.0,SUS,Lapatinib,1970-01-01,2099-12-31,nan,1359548,RxNorm,480167,Drug,0.9994691596948542
Leucovorin,0.0,SUS,Leucovorin,1970-01-01,2099-12-31,nan,1388796,RxNorm,6313,Drug,0.9993706893874332
Ácido zoledrônico monoidratado,0.0,SUS,Monohydrate zoledronic acid,1970-01-01,2099-12-31,nan,1524674,RxNorm,77655,Drug,0.5444641411304474
Sulfato de vimblastina,0.0,SUS,Vimblastine sulfate,1970-01-01,2099-12-31,nan,19008264,RxNorm,11198,Drug,0.6296690404415131
Tacrolimo monoidratado,0.0,SUS,Monohydrate tacrolimo,1970-01-01,2099-12-31,nan,950637,RxNorm,42316,Drug,0.674859344959259
Fosfato de fludarabina,0.0,SUS,Fludarabine phosphate,1970-01-01,2099-12-31,nan,1395557,RxNorm,24698,Drug,0.9992527297581546
Clorambucila,0.0,SUS,Chlorambucila,1970-01-01,2099-12-31,nan,1390051,RxNorm,2346,Drug,0.6949688792228699
Sulfato de selumetinibe,0.0,SUS,Selumetinib Sulphate,1970-01-01,2099-12-31,nan,37499520,RxNorm,2289380,Drug,0.8883283883333206
Fotemustina,0.0,SUS,Photemustine,1970-01-01,2099-12-31,nan,1349025,RxNorm,4089,Drug,0.2704286575317383
Tioguanina,0.0,SUS,Thioguanin,1970-01-01,2099-12-31,nan,1437379,RxNorm,10485,Drug,0.7919952124357224
Mesilato de imatinibe,0.0,SUS,Imatinibe mesylate,1970-01-01,2099-12-31,nan,1304107,RxNorm,282388,Drug,0.7749554812908173
Cloridrato de tepotinibe monoidratado,0.0,SUS,Monohydrate tePotinib Hydrochloride,1970-01-01,2099-12-31,nan,739739,RxNorm,2477103,Drug,0.38998937606811523
Brigatinibe,0.0,SUS,Brigatinibe,1970-01-01,2099-12-31,nan,1594187,RxNorm,1921217,Drug,0.7603620141744614
Esilato de nintedanibe,0.0,SUS,Nintedanib,1970-01-01,2099-12-31,nan,45775396,RxNorm,1592737,Drug,0.9995789067761507
Sulfato de bleomicina,0.0,SUS,Bleomycin sulfate,1970-01-01,2099-12-31,nan,1329241,RxNorm,1622,Drug,0.9992572119226679
Flutamida,0.0,SUS,Flutamide,1970-01-01,2099-12-31,nan,1356461,RxNorm,4508,Drug,0.9991835378459655
