source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score
Crizotinibe,0.0,SUS,CRIZOTINIBE,1970-01-01,2099-12-31,nan,40242675,RxNorm,1148495,Drug,0.6959457695484161
Cemiplimabe,0.0,SUS,Cemeiplimab,1970-01-01,2099-12-31,nan,35200783,RxNorm,2058826,Drug,0.651412695646286
Atezolizumabe,0.0,SUS,Altezolizumab,1970-01-01,2099-12-31,nan,42629079,RxNorm,1792776,Drug,0.5696788728237152
Panitumumabe,0.0,SUS,Panitumumab,1970-01-01,2099-12-31,nan,19100985,RxNorm,263034,Drug,0.7679039835929871
Alfapoetina,0.0,SUS,Alfapoetin,1970-01-01,2099-12-31,nan,45879392,LOINC,LA18620-7,Meas Value,0.4864158630371094
Docetaxel,0.0,SUS,Docetaxel,1970-01-01,2099-12-31,nan,1315942,RxNorm,72962,Drug,0.7435938715934753
Cloridrato de irinotecano tri-hidratado,0.0,SUS,Trihydrate Irinotecan Hydrochloride,1970-01-01,2099-12-31,nan,35604257,RxNorm,1726322,Drug,0.6265213489532471
Acetato de megestrol,0.0,SUS,Megestrol acetate,1970-01-01,2099-12-31,nan,1300978,RxNorm,6703,Drug,0.9801014177501202
Ácido Trans-retinoico,0.0,SUS,Transretinoic acid,1970-01-01,2099-12-31,nan,903643,RxNorm,10753,Drug,0.6206005215644836
Ditosilato de lapatinibe,0.0,SUS,Lapatinib,1970-01-01,2099-12-31,nan,1359548,RxNorm,480167,Drug,0.9994691596948542
Leucovorin,0.0,SUS,Leucovorin,1970-01-01,2099-12-31,nan,1388796,RxNorm,6313,Drug,0.9993706893874332
Ácido zoledrônico monoidratado,0.0,SUS,Monohydrate zoledronic acid,1970-01-01,2099-12-31,nan,44808228,SNOMED,848271000000107,Observation,0.6215161681175232
Sulfato de vimblastina,0.0,SUS,Vimblastine sulfate,1970-01-01,2099-12-31,nan,19008264,RxNorm,11198,Drug,0.5416918992996216
Tacrolimo monoidratado,0.0,SUS,Monohydrate tacrolimo,1970-01-01,2099-12-31,nan,950637,RxNorm,42316,Drug,0.674859344959259
