,source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score,target_concept_id_match,ref_target_concept_id,ref_target_vocabulary_code
0,0101010010,0.0,SUS,EDUCATIONAL/ORIENTATION ACTIVITY IN GROUP IN PRIMARY CARE,1970-01-01,2099-12-31,,45881534,LOINC,LA9377-8,Meas Value,0.1917946338653564,True,45881534,LA9377-8
1,0101010028,0.0,SUS,EDUCATIONAL/ORIENTATION ACTIVITY IN GROUP IN SPECIALIZED CARE,1970-01-01,2099-12-31,,4216446,SNOMED,41838008,Procedure,0.1347931027412414,False,45881534,LA9377-8
2,0101010044,0.0,SUS,Body Practices in Traditional Chinese Medicine,1970-01-01,2099-12-31,,37109821,SNOMED,723688009,Procedure,0.6711851954460144,True,37109821,723688009
3,0101010052,0.0,SUS,Community Therapy,1970-01-01,2099-12-31,,4347673,SNOMED,243224001,Observation,0.9287258312106133,False,46237774,LA22188-9
4,0101010060,0.0,SUS,Circular Dance/Biodance,1970-01-01,2099-12-31,,4320470,SNOMED,69711002,Procedure,0.8983270525932312,False,4227797,354652004
5,0101010079,0.0,SUS,Yoga,1970-01-01,2099-12-31,,37158463,SNOMED,1259940003,Observation,0.999369114811998,False,4084640,24197007
6,0101010087,0.0,SUS,Massage/Self-Massage Workshop,1970-01-01,2099-12-31,,21498681,LOINC,LA25338-7,Meas Value,0.1380374431610107,False,44804083,724261000000107
7,0101010095,0.0,SUS,COVID-19 Prevention in Schools,1970-01-01,2099-12-31,,4061660,SNOMED,169443000,Procedure,0.2065914869308471,False,37311061,840539006
8,0101010109,0.0,SUS,Educational Activities for the Population on Malaria,1970-01-01,2099-12-31,,4062472,SNOMED,171078009,Observation,0.5305436253547668,False,4115562,301468005
9,0101020104,0.0,SUS,Oral Hygiene Guidance,1970-01-01,2099-12-31,,37397340,SNOMED,717778001,Observation,0.6170870661735535,True,37397340,717778001
10,0101020112,0.0,SUS,Collective Action for Oral Cancer Prevention,1970-01-01,2099-12-31,,1075458,SNOMED,1304124007,Measurement,0.3050095438957214,False,4044554,129428001
11,0101020120,0.0,SUS,Guidance on Dental Prosthesis Cleaning,1970-01-01,2099-12-31,,4202608,SNOMED,309056006,Observation,0.6024069488048553,False,4100063,27606000
12,0101040016,0.0,SUS,Application of Micronutrient Supplements,1970-01-01,2099-12-31,,4088217,SNOMED,18629005,Procedure,0.9585373997688292,False,21494861,81202-4
13,0101040075,0.0,SUS,Height Measurement,1970-01-01,2099-12-31,,3023540,LOINC,3137-7,Measurement,0.6366682052612305,False,4220338,39857003
14,0101040083,0.0,SUS,Weight Measurement,1970-01-01,2099-12-31,,4178502,SNOMED,363808001,Measurement,0.9864908158779144,False,4220338,39857003
15,0101040091,0.0,SUS,Dispensing Micronutrient Supplement in Powder Form - Nutrisus,1970-01-01,2099-12-31,,1145944,RxNorm,2371790,Drug,-0.0562498569488525,False,21494861,81202-4
16,0101040105,0.0,SUS,Dispensing Folic Acid Supplement,1970-01-01,2099-12-31,,37208423,SNOMED,1105131000000108,Observation,0.4619020819664001,True,37208423,1105131000000108
17,0101040113,0.0,SUS,Dispensing Iron Supplement,1970-01-01,2099-12-31,,763330,SNOMED,438641000124100,Device,0.6194839775562286,False,763356,
18,0101040121,0.0,SUS,Assessment of Food Insecurity Risk,1970-01-01,2099-12-31,,604550,SNOMED,1002224003,Procedure,0.7502926290035248,False,37116643,733423003
19,0101050054,0.0,SUS,MASSAGE/AUTO-MASSAGE WORKSHOP,1970-01-01,2099-12-31,,4078521,SNOMED,19207007,Procedure,0.1938722133636474,False,44804083,724261000000107
20,0101050097,0.0,SUS,Applied Anthroposophy Session for Health,1970-01-01,2099-12-31,,4205797,SNOMED,439450007,Observation,0.2785974740982055,True,4205797,439450007
21,0101050100,0.0,SUS,Biodance Session,1970-01-01,2099-12-31,,4320470,SNOMED,69711002,Procedure,0.3799875974655151,False,41917147,
22,0101050119,0.0,SUS,Bioenergetics Session,1970-01-01,2099-12-31,,45767720,SNOMED,705214001,Device,0.2476580142974853,False,45877295,LA16660-5
23,0101050127,0.0,SUS,Family Constellation Session,1970-01-01,2099-12-31,,4207916,SNOMED,311764000,Procedure,0.1616445779800415,False,4121513,304725007
24,0101050135,0.0,SUS,Circle Dance Session,1970-01-01,2099-12-31,,4320470,SNOMED,69711002,Procedure,0.2257260680198669,False,9481,
25,0101050143,0.0,SUS,Thermal Therapy Session,1970-01-01,2099-12-31,,4148273,SNOMED,266694003,Procedure,0.461377203464508,False,44790232,231391000000100
26,0102020051,0.0,SUS,ACTIVE SEARCH OF SUSPECTED WORK-RELATED DISEASES OR INJURIES,1970-01-01,2099-12-31,,42689803,SNOMED,1068521000000104,Condition,0.2912467718124389,False,4208353,313080005
27,011 -Anastrozo,0.0,SUS,Anastrozole,1970-01-01,2099-12-31,,1348265,RxNorm,84857,Drug,0.9994822506560012,True,1348265,84857
28,0202010058,0.0,SUS,DETERMINATION OF GLYCEMIC CURVE WITH CORTISONE INDUCTION (5 MEASUREMENTS),1970-01-01,2099-12-31,,40761668,LOINC,58568-7,Measurement,0.3574759364128113,False,4141648,266695002
29,0202010066,0.0,SUS,DETERMINATION OF GLYCEMIC CURVE WITH CORTISONE INDUCTION (4 MEASUREMENTS),1970-01-01,2099-12-31,,40761696,LOINC,58596-8,Measurement,0.3690317869186401,False,4043259,167727000
30,0202010791,0.0,SUS,Brain Natriuretic Peptides (BNP and NT-proBNP) Assay,1970-01-01,2099-12-31,,4307029,SNOMED,390917008,Measurement,0.5050552785396576,False,3011960,30934-4
31,0202020550,0.0,SUS,Functional Protein C Assay,1970-01-01,2099-12-31,,4095691,SNOMED,26300008,Measurement,0.92230074852705,False,3001149,6006-1
32,0202020568,0.0,SUS,Functional Protein S Assay,1970-01-01,2099-12-31,,4315019,SNOMED,86908003,Measurement,0.8798420578241348,False,3001182,5893-3
33,0202020576,0.0,SUS,Lupus Anticoagulant Testing,1970-01-01,2099-12-31,,4192943,SNOMED,314094003,Measurement,0.7934857457876205,False,3019174,6303-2
34,0202030377,0.0,SUS,SEARCH FOR ANTI-ADENOVIRUS ANTIBODIES,1970-01-01,2099-12-31,,4025444,SNOMED,120726005,Observation,0.7322244644165039,False,45768990,707545002
35,0202030407,0.0,SUS,SEARCH FOR ANTI-BRUCELLA ANTIBODIES,1970-01-01,2099-12-31,,4025970,SNOMED,120663006,Observation,0.6070076525211334,False,46272275,710609004
36,0202030717,0.0,SUS,SEARCH FOR ANTIBODIES AND/OR ANTIGEN OF RESPIRATORY SYNCYTIAL VIRUS,1970-01-01,2099-12-31,,4026348,SNOMED,121007001,Observation,0.693006694316864,False,4197481,313274005
37,0202030954,0.0,SUS,SEARCH FOR IGM ANTIBODIES AGAINST HERPES SIMPLEX VIRUS,1970-01-01,2099-12-31,,4246844,SNOMED,408218006,Measurement,0.7385189533233643,False,4025994,120748004
38,0202031063,0.0,SUS,BACTERIAL IMMUNO-ALLERGIC TESTS,1970-01-01,2099-12-31,,3018414,LOINC,19058-7,Measurement,0.3120790719985962,False,4208079,
39,0202031160,0.0,SUS,RAPID TESTS FOR SYPHILIS DIAGNOSIS,1970-01-01,2099-12-31,,3021461,LOINC,20507-0,Measurement,0.6590937077999115,False,4229096,40675008
40,0202031276,0.0,SUS,Adenosine Deaminase (ADA) Assay,1970-01-01,2099-12-31,,4014887,SNOMED,104471003,Measurement,0.5807535946369171,False,3037437,9404-5
41,0202031284,0.0,SUS,Anti-Beta-2 Glycoprotein I - IgG,1970-01-01,2099-12-31,,4133753,SNOMED,413001005,Measurement,0.8168656229972839,False,3018658,16135-6
42,0202031292,0.0,SUS,Anti-Beta-2-Glycoprotein I - IgM Assay,1970-01-01,2099-12-31,,4135562,SNOMED,413003008,Measurement,0.7396378517150879,False,3014300,16136-4
43,0202031306,0.0,SUS,Paroxysmal Nocturnal Hemoglobinuria Diagnosis and Reevaluation,1970-01-01,2099-12-31,,4024671,SNOMED,1963002,Condition,0.620028018951416,False,1175525,90735-2
44,0202031314,0.0,SUS,Anti-Acetylcholine Receptor (AChR) Antibody Assay,1970-01-01,2099-12-31,,4044814,SNOMED,122224000,Measurement,0.8363291174173355,False,3043403,33278-3
45,0202031322,0.0,SUS,Sirolimus Assay,1970-01-01,2099-12-31,,40482331,SNOMED,443572004,Measurement,0.5947572290897369,False,3021374,29247-4
46,0202031349,0.0,SUS,Molecular Biology Test for Detection of Mycobacterium leprae Markers in Skin or Nerve Biopsy Samples,1970-01-01,2099-12-31,,1259962,LOINC,104433-8,Measurement,0.4007960557937622,False,3001525,23247-0
47,0202031357,0.0,SUS,In-Vitro Qualitative Test for Detection of Rifampicin and/or Dapsone and/or Ofloxacin Resistance in Mycobacterium leprae in Hansen's Disease Patients with Suspected Antimicrobial Resistance,1970-01-01,2099-12-31,,4211924,SNOMED,416597004,Condition,0.4532252550125122,False,43534043,72870-9
48,0202050220,0.0,SUS,SEARCH FOR PHENYLKETONE IN URINE,1970-01-01,2099-12-31,,3023858,LOINC,2769-8,Measurement,0.8186330050230026,False,4010486,
49,0202080250,0.0,SUS,DIRECT MYCOLOGICAL EXAM,1970-01-01,2099-12-31,,4151551,SNOMED,269939008,Measurement,0.4315076470375061,False,4239515,69267006
50,0202090361,0.0,SUS,Molecular Test for Detection of Mycobacterium tuberculosis Complex,1970-01-01,2099-12-31,,36659657,LOINC,94576-6,Measurement,0.6374861001968384,False,37020136,92827-5
51,0202100200,0.0,SUS,Complete Exome Sequencing,1970-01-01,2099-12-31,,36203728,LOINC,86205-2,Measurement,0.3899416923522949,True,36203728,86205-2
52,0202100219,0.0,SUS,Philadelphia Chromosome-Positive Leukemia Diagnosis by Molecular Technique,1970-01-01,2099-12-31,,134603,SNOMED,92818009,Condition,0.536631166934967,False,46235651,75892-0
53,0202100227,0.0,SUS,Diagnostic Reassessment of Philadelphia Chromosome-Positive Leukemia by Molecular Technique,1970-01-01,2099-12-31,,134603,SNOMED,92818009,Condition,0.4035125970840454,False,3049056,46434-7
