,source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score,target_concept_id_match,ref_target_concept_id,ref_target_vocabulary_code
0,0101010010,0.0,SUS,EDUCATIONAL/ORIENTATION ACTIVITY IN GROUP IN PRIMARY CARE,1970-01-01,2099-12-31,,36306158.0,LOINC,89434-5,Note,0.1191805601119995,False,45881534,LA9377-8
1,0101010028,0.0,SUS,EDUCATIONAL/ORIENTATION ACTIVITY IN GROUP IN SPECIALIZED CARE,1970-01-01,2099-12-31,,4216882.0,SNOMED,417158007,Observation,0.1351184248924255,False,45881534,LA9377-8
2,0101010044,0.0,SUS,Body Practices in Traditional Chinese Medicine,1970-01-01,2099-12-31,,37109821.0,SNOMED,723688009,Procedure,0.3485406637191772,True,37109821,723688009
3,0101010052,0.0,SUS,Community Therapy,1970-01-01,2099-12-31,,4347673.0,SNOMED,243224001,Observation,0.6717243492603302,False,46237774,LA22188-9
4,0101010060,0.0,SUS,Circular Dance/Biodance,1970-01-01,2099-12-31,,4320470.0,SNOMED,69711002,Procedure,0.7683804333209991,False,4227797,354652004
5,0101010079,0.0,SUS,Yoga,1970-01-01,2099-12-31,,37158463.0,SNOMED,1259940003,Observation,0.999998298887931,False,4084640,24197007
6,0101010087,0.0,SUS,Massage/Self-Massage Workshop,1970-01-01,2099-12-31,,4302819.0,SNOMED,387854002,Procedure,0.1027145981788635,False,44804083,724261000000107
7,0101010095,0.0,SUS,COVID-19 Prevention in Schools,1970-01-01,2099-12-31,,4273851.0,SNOMED,63994009,Observation,-0.0206599235534667,False,37311061,840539006
8,0101010109,0.0,SUS,Educational Activities for the Population on Malaria,1970-01-01,2099-12-31,,4062472.0,SNOMED,171078009,Observation,0.3753924369812011,False,4115562,301468005
9,0101020104,0.0,SUS,Oral Hygiene Guidance,1970-01-01,2099-12-31,,4243192.0,SNOMED,58707002,Observation,0.6138681769371033,False,37397340,717778001
10,0101020112,0.0,SUS,Collective Action for Oral Cancer Prevention,1970-01-01,2099-12-31,,1075458.0,SNOMED,1304124007,Measurement,0.0276797413825988,False,4044554,129428001
11,0101020120,0.0,SUS,Guidance on Dental Prosthesis Cleaning,1970-01-01,2099-12-31,,4202608.0,SNOMED,309056006,Observation,0.5585025250911713,False,4100063,27606000
12,0101040016,0.0,SUS,Application of Micronutrient Supplements,1970-01-01,2099-12-31,,4088217.0,SNOMED,18629005,Procedure,0.8353563696146011,False,21494861,81202-4
13,0101040075,0.0,SUS,Height Measurement,1970-01-01,2099-12-31,,4177340.0,SNOMED,50373000,Measurement,0.6003711521625519,False,4220338,39857003
14,0101040083,0.0,SUS,Weight Measurement,1970-01-01,2099-12-31,,4178502.0,SNOMED,363808001,Measurement,0.9164294749498368,False,4220338,39857003
15,0101040091,0.0,SUS,Dispensing Micronutrient Supplement in Powder Form - Nutrisus,1970-01-01,2099-12-31,,,,,,1.0,False,21494861,81202-4
16,0101040105,0.0,SUS,Dispensing Folic Acid Supplement,1970-01-01,2099-12-31,,19111620.0,RxNorm,4511,Drug,0.3713626265525818,False,37208423,1105131000000108
17,0101040113,0.0,SUS,Dispensing Iron Supplement,1970-01-01,2099-12-31,,763330.0,SNOMED,438641000124100,Device,0.3749764561653137,False,763356,
18,0101040121,0.0,SUS,Assessment of Food Insecurity Risk,1970-01-01,2099-12-31,,36304002.0,LOINC,88124-3,Observation,0.3750459551811218,False,37116643,733423003
19,0101050054,0.0,SUS,MASSAGE/AUTO-MASSAGE WORKSHOP,1970-01-01,2099-12-31,,4046688.0,SNOMED,229499000,Procedure,0.1459923982620239,False,44804083,724261000000107
20,0101050097,0.0,SUS,Applied Anthroposophy Session for Health,1970-01-01,2099-12-31,,44792730.0,SNOMED,351421000000101,Procedure,0.368475079536438,False,4205797,439450007
21,0101050100,0.0,SUS,Biodance Session,1970-01-01,2099-12-31,,4320470.0,SNOMED,69711002,Procedure,0.4064958095550537,False,41917147,
22,0101050119,0.0,SUS,Bioenergetics Session,1970-01-01,2099-12-31,,,,,,1.0,False,45877295,LA16660-5
23,0101050127,0.0,SUS,Family Constellation Session,1970-01-01,2099-12-31,,4173581.0,SNOMED,50160009,Procedure,0.1667189002037048,False,4121513,304725007
24,0101050135,0.0,SUS,Circle Dance Session,1970-01-01,2099-12-31,,4320470.0,SNOMED,69711002,Procedure,0.2651804685592651,False,9481,
25,0101050143,0.0,SUS,Thermal Therapy Session,1970-01-01,2099-12-31,,4128320.0,SNOMED,261570006,Procedure,0.4022378921508789,False,44790232,231391000000100
26,0102020051,0.0,SUS,ACTIVE SEARCH OF SUSPECTED WORK-RELATED DISEASES OR INJURIES,1970-01-01,2099-12-31,,4194672.0,SNOMED,79206001,Procedure,0.2543630599975586,False,4208353,313080005
27,011 -Anastrozo,0.0,SUS,Anastrozole,1970-01-01,2099-12-31,,1348265.0,RxNorm,84857,Drug,0.9999974864156228,True,1348265,84857
28,0202010058,0.0,SUS,DETERMINATION OF GLYCEMIC CURVE WITH CORTISONE INDUCTION (5 MEASUREMENTS),1970-01-01,2099-12-31,,4135545.0,SNOMED,412928005,Measurement,0.225629448890686,False,4141648,266695002
29,0202010066,0.0,SUS,DETERMINATION OF GLYCEMIC CURVE WITH CORTISONE INDUCTION (4 MEASUREMENTS),1970-01-01,2099-12-31,,4135545.0,SNOMED,412928005,Measurement,0.2041921019554138,False,4043259,167727000
30,0202010791,0.0,SUS,Brain Natriuretic Peptides (BNP and NT-proBNP) Assay,1970-01-01,2099-12-31,,4307029.0,SNOMED,390917008,Measurement,0.5372741222381592,False,3011960,30934-4
31,0202020550,0.0,SUS,Functional Protein C Assay,1970-01-01,2099-12-31,,4095691.0,SNOMED,26300008,Measurement,0.7616332024335861,False,3001149,6006-1
32,0202020568,0.0,SUS,Functional Protein S Assay,1970-01-01,2099-12-31,,4315019.0,SNOMED,86908003,Measurement,0.7458992600440979,False,3001182,5893-3
33,0202020576,0.0,SUS,Lupus Anticoagulant Testing,1970-01-01,2099-12-31,,4268621.0,SNOMED,63300003,Measurement,0.7263493537902832,False,3019174,6303-2
34,0202030377,0.0,SUS,SEARCH FOR ANTI-ADENOVIRUS ANTIBODIES,1970-01-01,2099-12-31,,1076140.0,SNOMED,1335901007,Measurement,0.4524747133255005,False,45768990,707545002
35,0202030407,0.0,SUS,SEARCH FOR ANTI-BRUCELLA ANTIBODIES,1970-01-01,2099-12-31,,,,,,1.0,False,46272275,710609004
36,0202030717,0.0,SUS,SEARCH FOR ANTIBODIES AND/OR ANTIGEN OF RESPIRATORY SYNCYTIAL VIRUS,1970-01-01,2099-12-31,,4146228.0,SNOMED,34448000,Measurement,0.4585043787956238,False,4197481,313274005
37,0202030954,0.0,SUS,SEARCH FOR IGM ANTIBODIES AGAINST HERPES SIMPLEX VIRUS,1970-01-01,2099-12-31,,4246844.0,SNOMED,408218006,Measurement,0.7340564429759979,False,4025994,120748004
38,0202031063,0.0,SUS,BACTERIAL IMMUNO-ALLERGIC TESTS,1970-01-01,2099-12-31,,,,,,1.0,False,4208079,
39,0202031160,0.0,SUS,RAPID TESTS FOR SYPHILIS DIAGNOSIS,1970-01-01,2099-12-31,,3021461.0,LOINC,20507-0,Measurement,0.6865384876728058,False,4229096,40675008
40,0202031276,0.0,SUS,Adenosine Deaminase (ADA) Assay,1970-01-01,2099-12-31,,4014887.0,SNOMED,104471003,Measurement,0.6295323371887207,False,3037437,9404-5
41,0202031284,0.0,SUS,Anti-Beta-2 Glycoprotein I - IgG,1970-01-01,2099-12-31,,4260625.0,SNOMED,412637007,Observation,0.7327922880649567,False,3018658,16135-6
42,0202031292,0.0,SUS,Anti-Beta-2-Glycoprotein I - IgM Assay,1970-01-01,2099-12-31,,4135562.0,SNOMED,413003008,Measurement,0.6036677062511444,False,3014300,16136-4
43,0202031306,0.0,SUS,Paroxysmal Nocturnal Hemoglobinuria Diagnosis and Reevaluation,1970-01-01,2099-12-31,,4024671.0,SNOMED,1963002,Condition,0.4956732392311096,False,1175525,90735-2
44,0202031314,0.0,SUS,Anti-Acetylcholine Receptor (AChR) Antibody Assay,1970-01-01,2099-12-31,,4044814.0,SNOMED,122224000,Measurement,0.6370093822479248,False,3043403,33278-3
45,0202031322,0.0,SUS,Sirolimus Assay,1970-01-01,2099-12-31,,40482331.0,SNOMED,443572004,Measurement,0.6664731502532959,False,3021374,29247-4
46,0202031349,0.0,SUS,Molecular Biology Test for Detection of Mycobacterium leprae Markers in Skin or Nerve Biopsy Samples,1970-01-01,2099-12-31,,1259962.0,LOINC,104433-8,Measurement,0.3835799098014831,False,3001525,23247-0
47,0202031357,0.0,SUS,In-Vitro Qualitative Test for Detection of Rifampicin and/or Dapsone and/or Ofloxacin Resistance in Mycobacterium leprae in Hansen's Disease Patients with Suspected Antimicrobial Resistance,1970-01-01,2099-12-31,,36303487.0,LOINC,89486-5,Measurement,0.3197653889656067,False,43534043,72870-9
48,0202050220,0.0,SUS,SEARCH FOR PHENYLKETONE IN URINE,1970-01-01,2099-12-31,,3023858.0,LOINC,2769-8,Measurement,0.434472918510437,False,4010486,
49,0202080250,0.0,SUS,DIRECT MYCOLOGICAL EXAM,1970-01-01,2099-12-31,,4216482.0,SNOMED,395213003,Procedure,0.2885851860046386,False,4239515,69267006
50,0202090361,0.0,SUS,Molecular Test for Detection of Mycobacterium tuberculosis Complex,1970-01-01,2099-12-31,,3048086.0,LOINC,38379-4,Measurement,0.4154586791992187,False,37020136,92827-5
51,0202100200,0.0,SUS,Complete Exome Sequencing,1970-01-01,2099-12-31,,36203728.0,LOINC,86205-2,Measurement,0.3919210433959961,True,36203728,86205-2
52,0202100219,0.0,SUS,Philadelphia Chromosome-Positive Leukemia Diagnosis by Molecular Technique,1970-01-01,2099-12-31,,40485072.0,SNOMED,444157002,Measurement,0.4148212075233459,False,46235651,75892-0
53,0202100227,0.0,SUS,Diagnostic Reassessment of Philadelphia Chromosome-Positive Leukemia by Molecular Technique,1970-01-01,2099-12-31,,40485072.0,SNOMED,444157002,Measurement,0.3607457876205444,False,3049056,46434-7
54,0202100235,0.0,SUS,Prothrombin Gene Mutation Testing,1970-01-01,2099-12-31,,37392469.0,SNOMED,1004461000000102,Measurement,0.5283629298210144,False,3025008,24475-6
55,0202110150,0.0,SUS,Anti-Toxoplasma gondii IgM Testing in Dried Blood Samples (Part of Newborn Screening),1970-01-01,2099-12-31,,4324051.0,SNOMED,428447008,Measurement,0.2846555709838867,False,3050965,54088-0
56,0204010217,0.0,SUS,Interproximal X-Ray (Bite Wing),1970-01-01,2099-12-31,,4081551.0,SNOMED,241046008,Procedure,0.5792520642280579,False,3052292,46386-9
57,0204010225,0.0,SUS,Periapical X-Ray,1970-01-01,2099-12-31,,4346193.0,SNOMED,241047004,Procedure,0.611924022436142,False,40765180,62443-7
58,0205020208,0.0,SUS,Unilateral Breast Ultrasound for Evaluation of Possible Implant Complications,1970-01-01,2099-12-31,,4264054.0,SNOMED,47079000,Procedure,0.2901698350906372,False,3011756,24601-7
59,0205020216,0.0,SUS,Bilateral Breast Ultrasound for Evaluation of Possible Implant Complications,1970-01-01,2099-12-31,,42535066.0,SNOMED,1571000087109,Procedure,0.3590860366821289,False,3007444,26214-7
60,0205020224,0.0,SUS,ULTRASONIC HEPATIC ELASTOGRAPHY,1970-01-01,2099-12-31,,40479203.0,SNOMED,441491005,Procedure,0.5731343030929565,False,40491501,448764002
61,0207020043,0.0,SUS,Unilateral Breast Magnetic Resonance Imaging for Evaluation of Possible Implant Complications - Restricted to Cases of Unilateral Implantation,1970-01-01,2099-12-31,,3049256.0,LOINC,38058-4,Procedure,0.4091328978538513,False,40771712,69191-5
