source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score
Crizotinibe,0.0,SUS,CRIZOTINIBE,1970-01-01,2099-12-31,,40242675,RxNorm,1148495,Drug,0.7223063111305237
Cemiplimabe,0.0,SUS,Cemeiplimab,1970-01-01,2099-12-31,,35200783,RxNorm,2058826,Drug,0.7510054111480713
Atezolizumabe,0.0,SUS,Altezolizumab,1970-01-01,2099-12-31,,42629079,RxNorm,1792776,Drug,0.576399028301239
Panitumumabe,0.0,SUS,Panitumumab,1970-01-01,2099-12-31,,19100985,RxNorm,263034,Drug,1.0
Alfapoetina,0.0,SUS,Alfapoetin,1970-01-01,2099-12-31,,1301125,RxNorm,105694,Drug,0.3488287329673767
Docetaxel,0.0,SUS,Docetaxel,1970-01-01,2099-12-31,,1315942,RxNorm,72962,Drug,1.0
Cloridrato de irinotecano tri-hidratado,0.0,SUS,Trihydrate Irinotecan Hydrochloride,1970-01-01,2099-12-31,,35604257,RxNorm,1726322,Drug,0.4401715397834778
Acetato de megestrol,0.0,SUS,Megestrol acetate,1970-01-01,2099-12-31,,1300978,RxNorm,6703,Drug,0.9999979847773375
Ácido Trans-retinoico,0.0,SUS,Transretinoic acid,1970-01-01,2099-12-31,,903643,RxNorm,10753,Drug,0.2877768874168396
Ditosilato de lapatinibe,0.0,SUS,Lapatinib,1970-01-01,2099-12-31,,1359548,RxNorm,480167,Drug,0.9999695238475397
Leucovorin,0.0,SUS,Leucovorin,1970-01-01,2099-12-31,,1388796,RxNorm,6313,Drug,0.9999978072237354
Ácido zoledrônico monoidratado,0.0,SUS,Monohydrate zoledronic acid,1970-01-01,2099-12-31,,1524674,RxNorm,77655,Drug,0.5364101827144623
Sulfato de vimblastina,0.0,SUS,Vimblastine sulfate,1970-01-01,2099-12-31,,19008264,RxNorm,11198,Drug,0.5466504991054535
Tacrolimo monoidratado,0.0,SUS,Monohydrate tacrolimo,1970-01-01,2099-12-31,,950637,RxNorm,42316,Drug,0.6305438876152039
Fosfato de fludarabina,0.0,SUS,Fludarabine phosphate,1970-01-01,2099-12-31,,1395557,RxNorm,24698,Drug,1.0
Clorambucila,0.0,SUS,Chlorambucila,1970-01-01,2099-12-31,,1390051,RxNorm,2346,Drug,0.6184735596179962
Sulfato de selumetinibe,0.0,SUS,Selumetinib Sulphate,1970-01-01,2099-12-31,,37499520,RxNorm,2289380,Drug,0.8963019549846649
Fotemustina,0.0,SUS,Photemustine,1970-01-01,2099-12-31,,,,,,1.0
Tioguanina,0.0,SUS,Thioguanin,1970-01-01,2099-12-31,,1437379,RxNorm,10485,Drug,0.7271978557109833
Mesilato de imatinibe,0.0,SUS,Imatinibe mesylate,1970-01-01,2099-12-31,,1304107,RxNorm,282388,Drug,0.8349074423313141
Cloridrato de tepotinibe monoidratado,0.0,SUS,Monohydrate tePotinib Hydrochloride,1970-01-01,2099-12-31,,739739,RxNorm,2477103,Drug,0.3229547142982483
Brigatinibe,0.0,SUS,Brigatinibe,1970-01-01,2099-12-31,,1594187,RxNorm,1921217,Drug,0.8156177252531052
Esilato de nintedanibe,0.0,SUS,Nintedanib,1970-01-01,2099-12-31,,45775396,RxNorm,1592737,Drug,0.9999971027850734
Sulfato de bleomicina,0.0,SUS,Bleomycin sulfate,1970-01-01,2099-12-31,,1329241,RxNorm,1622,Drug,1.0
Flutamida,0.0,SUS,Flutamide,1970-01-01,2099-12-31,,1356461,RxNorm,4508,Drug,1.0
Blinatumomabe,0.0,SUS,Blinatumomab,1970-01-01,2099-12-31,,45892531,RxNorm,1597258,Drug,0.9999974402439875
Moxetumomabe pasudotox,0.0,SUS,MOXETUMOMABE PASDOTOX,1970-01-01,2099-12-31,,35200995,RxNorm,2099295,Drug,0.7623193114995956
Exemestano,0.0,SUS,Example,1970-01-01,2099-12-31,,4048506,SNOMED,123038009,Specimen,0.0035399198532104492
Decitabina,0.0,SUS,Decitabine,1970-01-01,2099-12-31,,19024728,RxNorm,15657,Drug,0.999997660695044
Trastuzumabe,0.0,SUS,Trastuzumab,1970-01-01,2099-12-31,,1387104,RxNorm,224905,Drug,1.0
Cloridrato de idarrubicina,0.0,SUS,Idarrubicin Hydrochloride,1970-01-01,2099-12-31,,19078097,RxNorm,5650,Drug,0.7572536170482635
Avelumabe,0.0,SUS,Avelumab,1970-01-01,2099-12-31,,1593273,RxNorm,1875534,Drug,0.9999979449401053
Vinorelbina,0.0,SUS,Vinorelbine,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,1.0
Erdafitinibe,0.0,SUS,ErdaFitinib,1970-01-01,2099-12-31,,1511250,RxNorm,2123125,Drug,0.563105583190918
Hemitartarato de vinorelbina,0.0,SUS,Vinorelbine hemitatar,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.6786162555217743
Melfalana,0.0,SUS,Mellphalana,1970-01-01,2099-12-31,,4257679,SNOMED,409958009,Observation,0.023231148719787598
Ciclofosfamida monoidratada,0.0,SUS,Monohydrate cyclophosphamide,1970-01-01,2099-12-31,,1310317,RxNorm,3002,Drug,0.7874206900596619
Hemifumarato de cobimetinibe,0.0,SUS,Cobimetinib hemifumarate,1970-01-01,2099-12-31,,35605804,RxNorm,1722365,Drug,0.9999990054709542
Nilotinibe,0.0,SUS,Nilotinib,1970-01-01,2099-12-31,,1394023,RxNorm,662281,Drug,1.0
Ditartarato de vinorelbina,0.0,SUS,Vinorelbine dictate,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.6253652572631836
Acalabrutinibe,0.0,SUS,ABAILABRUTINIBE,1970-01-01,2099-12-31,,792764,RxNorm,1986808,Drug,0.29809439182281494
Pemetrexede,0.0,SUS,Pemetrexe,1970-01-01,2099-12-31,,1304919,RxNorm,68446,Drug,0.5618982911109924
Asparaginase,0.0,SUS,Asparaginase,1970-01-01,2099-12-31,,19012585,RxNorm,1156,Drug,0.9999977718250648
Mitomicina,0.0,SUS,Mitomycin,1970-01-01,2099-12-31,,1389036,RxNorm,632,Drug,0.999997483124389
Palbociclibe,0.0,SUS,Palbocyclibe,1970-01-01,2099-12-31,,45892075,RxNorm,1601374,Drug,0.32789045572280884
Pembrolizumabe,0.0,SUS,Pembrolizumab,1970-01-01,2099-12-31,,45775965,RxNorm,1547545,Drug,0.9999974283659867
Dasatinibe,0.0,SUS,Dasatinib,1970-01-01,2099-12-31,,1358436,RxNorm,475342,Drug,1.0
Mitotano,0.0,SUS,Mitotane,1970-01-01,2099-12-31,,1309161,RxNorm,7004,Drug,0.999997479487547
