,source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score,target_concept_id_match,ref_target_concept_id,ref_target_vocabulary_code
0,0101010010,0.0,SUS,EDUCATIONAL/ORIENTATION ACTIVITY IN GROUP IN PRIMARY CARE,1970-01-01,2099-12-31,,4254480,SNOMED,409073007,Observation,0.1769097447395324,False,45881534,LA9377-8
1,0101010028,0.0,SUS,EDUCATIONAL/ORIENTATION ACTIVITY IN GROUP IN SPECIALIZED CARE,1970-01-01,2099-12-31,,4254480,SNOMED,409073007,Observation,0.1701911091804504,False,45881534,LA9377-8
2,0101010044,0.0,SUS,Body Practices in Traditional Chinese Medicine,1970-01-01,2099-12-31,,37109821,SNOMED,723688009,Procedure,0.3592559099197387,True,37109821,723688009
3,0101010052,0.0,SUS,Community Therapy,1970-01-01,2099-12-31,,4347673,SNOMED,243224001,Observation,0.5879876017570496,False,46237774,LA22188-9
4,0101010060,0.0,SUS,Circular Dance/Biodance,1970-01-01,2099-12-31,,4320470,SNOMED,69711002,Procedure,0.6206514239311218,False,4227797,354652004
5,0101010079,0.0,SUS,Yoga,1970-01-01,2099-12-31,,4046464,SNOMED,229224000,Procedure,0.4038474559783935,False,4084640,24197007
6,0101010087,0.0,SUS,Massage/Self-Massage Workshop,1970-01-01,2099-12-31,,4302819,SNOMED,387854002,Procedure,0.2866328358650207,False,44804083,724261000000107
7,0101010095,0.0,SUS,COVID-19 Prevention in Schools,1970-01-01,2099-12-31,,601868,SNOMED,471951000124103,Observation,0.1842579841613769,False,37311061,840539006
8,0101010109,0.0,SUS,Educational Activities for the Population on Malaria,1970-01-01,2099-12-31,,4254480,SNOMED,409073007,Observation,0.2388167381286621,False,4115562,301468005
9,0101020104,0.0,SUS,Oral Hygiene Guidance,1970-01-01,2099-12-31,,4243192,SNOMED,58707002,Observation,0.6899032294750214,False,37397340,717778001
10,0101020112,0.0,SUS,Collective Action for Oral Cancer Prevention,1970-01-01,2099-12-31,,37164266,SNOMED,1229966003,Meas Value,0.0651952028274536,False,4044554,129428001
11,0101020120,0.0,SUS,Guidance on Dental Prosthesis Cleaning,1970-01-01,2099-12-31,,4202608,SNOMED,309056006,Observation,0.5494527220726013,False,4100063,27606000
12,0101040016,0.0,SUS,Application of Micronutrient Supplements,1970-01-01,2099-12-31,,4088217,SNOMED,18629005,Procedure,0.3730281591415405,False,21494861,81202-4
13,0101040075,0.0,SUS,Height Measurement,1970-01-01,2099-12-31,,3033691,LOINC,43142-9,Measurement,0.3892573118209839,False,4220338,39857003
14,0101040083,0.0,SUS,Weight Measurement,1970-01-01,2099-12-31,,4178502,SNOMED,363808001,Measurement,0.8516127467155457,False,4220338,39857003
15,0101040091,0.0,SUS,Dispensing Micronutrient Supplement in Powder Form - Nutrisus,1970-01-01,2099-12-31,,1594229,RxNorm,1869690,Drug,0.0982821583747863,False,21494861,81202-4
16,0101040105,0.0,SUS,Dispensing Folic Acid Supplement,1970-01-01,2099-12-31,,19111620,RxNorm,4511,Drug,0.4031341075897217,False,37208423,1105131000000108
17,0101040113,0.0,SUS,Dispensing Iron Supplement,1970-01-01,2099-12-31,,19043244,RxNorm,210049,Drug,0.3214155435562134,False,763356,
18,0101040121,0.0,SUS,Assessment of Food Insecurity Risk,1970-01-01,2099-12-31,,604550,SNOMED,1002224003,Procedure,0.6191275119781494,False,37116643,733423003
19,0101050054,0.0,SUS,MASSAGE/AUTO-MASSAGE WORKSHOP,1970-01-01,2099-12-31,,4078521,SNOMED,19207007,Procedure,0.1566584110260009,False,44804083,724261000000107
20,0101050097,0.0,SUS,Applied Anthroposophy Session for Health,1970-01-01,2099-12-31,,44792730,SNOMED,351421000000101,Procedure,0.43536376953125,False,4205797,439450007
