,source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score,target_concept_id_match,ref_target_concept_id,ref_target_vocabulary_code
0,0101010010,0.0,SUS,EDUCATIONAL/ORIENTATION ACTIVITY IN GROUP IN PRIMARY CARE,1970-01-01,2099-12-31,,4137772.0,SNOMED,32142009,Observation,0.1253890395164489,False,45881534,LA9377-8
1,0101010028,0.0,SUS,EDUCATIONAL/ORIENTATION ACTIVITY IN GROUP IN SPECIALIZED CARE,1970-01-01,2099-12-31,,4158101.0,SNOMED,370879005,Observation,0.1685701608657837,False,45881534,LA9377-8
2,0101010044,0.0,SUS,Body Practices in Traditional Chinese Medicine,1970-01-01,2099-12-31,,37109821.0,SNOMED,723688009,Procedure,0.3592865467071533,True,37109821,723688009
3,0101010052,0.0,SUS,Community Therapy,1970-01-01,2099-12-31,,4347673.0,SNOMED,243224001,Observation,0.5879899263381958,False,46237774,LA22188-9
4,0101010060,0.0,SUS,Circular Dance/Biodance,1970-01-01,2099-12-31,,4320470.0,SNOMED,69711002,Procedure,0.6208091974258423,False,4227797,354652004
5,0101010079,0.0,SUS,Yoga,1970-01-01,2099-12-31,,37158463.0,SNOMED,1259940003,Observation,0.9999983808817204,False,4084640,24197007
6,0101010087,0.0,SUS,Massage/Self-Massage Workshop,1970-01-01,2099-12-31,,4302819.0,SNOMED,387854002,Procedure,0.2866328358650207,False,44804083,724261000000107
7,0101010095,0.0,SUS,COVID-19 Prevention in Schools,1970-01-01,2099-12-31,,601868.0,SNOMED,471951000124103,Observation,0.1842855811119079,False,37311061,840539006
8,0101010109,0.0,SUS,Educational Activities for the Population on Malaria,1970-01-01,2099-12-31,,4062472.0,SNOMED,171078009,Observation,0.5427625775337219,False,4115562,301468005
9,0101020104,0.0,SUS,Oral Hygiene Guidance,1970-01-01,2099-12-31,,4243192.0,SNOMED,58707002,Observation,0.6899082064628601,False,37397340,717778001
10,0101020112,0.0,SUS,Collective Action for Oral Cancer Prevention,1970-01-01,2099-12-31,,,,,,1.0,False,4044554,129428001
11,0101020120,0.0,SUS,Guidance on Dental Prosthesis Cleaning,1970-01-01,2099-12-31,,4202608.0,SNOMED,309056006,Observation,0.5494527220726013,False,4100063,27606000
12,0101040016,0.0,SUS,Application of Micronutrient Supplements,1970-01-01,2099-12-31,,4088217.0,SNOMED,18629005,Procedure,0.6781824827194214,False,21494861,81202-4
13,0101040075,0.0,SUS,Height Measurement,1970-01-01,2099-12-31,,3036277.0,LOINC,8302-2,Measurement,0.4108641147613525,False,4220338,39857003
14,0101040083,0.0,SUS,Weight Measurement,1970-01-01,2099-12-31,,4178502.0,SNOMED,363808001,Measurement,0.8515190482139587,False,4220338,39857003
15,0101040091,0.0,SUS,Dispensing Micronutrient Supplement in Powder Form - Nutrisus,1970-01-01,2099-12-31,,,,,,1.0,False,21494861,81202-4
16,0101040105,0.0,SUS,Dispensing Folic Acid Supplement,1970-01-01,2099-12-31,,19111620.0,RxNorm,4511,Drug,0.4031341075897217,False,37208423,1105131000000108
17,0101040113,0.0,SUS,Dispensing Iron Supplement,1970-01-01,2099-12-31,,763330.0,SNOMED,438641000124100,Device,0.4037072658538818,False,763356,
18,0101040121,0.0,SUS,Assessment of Food Insecurity Risk,1970-01-01,2099-12-31,,604550.0,SNOMED,1002224003,Procedure,0.7951216250658035,False,37116643,733423003
19,0101050054,0.0,SUS,MASSAGE/AUTO-MASSAGE WORKSHOP,1970-01-01,2099-12-31,,4302819.0,SNOMED,387854002,Procedure,0.1129416823387146,False,44804083,724261000000107
20,0101050097,0.0,SUS,Applied Anthroposophy Session for Health,1970-01-01,2099-12-31,,44792730.0,SNOMED,351421000000101,Procedure,0.43536376953125,False,4205797,439450007
21,0101050100,0.0,SUS,Biodance Session,1970-01-01,2099-12-31,,4320470.0,SNOMED,69711002,Procedure,0.2762496471405029,False,41917147,
22,0101050119,0.0,SUS,Bioenergetics Session,1970-01-01,2099-12-31,,44790232.0,SNOMED,231391000000100,Procedure,0.04388028383255,False,45877295,LA16660-5
23,0101050127,0.0,SUS,Family Constellation Session,1970-01-01,2099-12-31,,4028920.0,SNOMED,108313002,Procedure,0.1923267841339111,False,4121513,304725007
24,0101050135,0.0,SUS,Circle Dance Session,1970-01-01,2099-12-31,,4320470.0,SNOMED,69711002,Procedure,0.2455548644065857,False,9481,
25,0101050143,0.0,SUS,Thermal Therapy Session,1970-01-01,2099-12-31,,4128320.0,SNOMED,261570006,Procedure,0.4748470783233642,False,44790232,231391000000100
26,0102020051,0.0,SUS,ACTIVE SEARCH OF SUSPECTED WORK-RELATED DISEASES OR INJURIES,1970-01-01,2099-12-31,,4251909.0,SNOMED,410411005,Observation,0.1044744849205017,False,4208353,313080005
27,011 -Anastrozo,0.0,SUS,Anastrozole,1970-01-01,2099-12-31,,1348265.0,RxNorm,84857,Drug,0.9999984642977324,True,1348265,84857
28,0202010058,0.0,SUS,DETERMINATION OF GLYCEMIC CURVE WITH CORTISONE INDUCTION (5 MEASUREMENTS),1970-01-01,2099-12-31,,,,,,1.0,False,4141648,266695002
29,0202010066,0.0,SUS,DETERMINATION OF GLYCEMIC CURVE WITH CORTISONE INDUCTION (4 MEASUREMENTS),1970-01-01,2099-12-31,,,,,,1.0,False,4043259,167727000
30,0202010791,0.0,SUS,Brain Natriuretic Peptides (BNP and NT-proBNP) Assay,1970-01-01,2099-12-31,,4307029.0,SNOMED,390917008,Measurement,0.4792618155479431,False,3011960,30934-4
31,0202020550,0.0,SUS,Functional Protein C Assay,1970-01-01,2099-12-31,,4095691.0,SNOMED,26300008,Measurement,0.6842482686042786,False,3001149,6006-1
32,0202020568,0.0,SUS,Functional Protein S Assay,1970-01-01,2099-12-31,,4315019.0,SNOMED,86908003,Measurement,0.7402669191360474,False,3001182,5893-3
33,0202020576,0.0,SUS,Lupus Anticoagulant Testing,1970-01-01,2099-12-31,,4268621.0,SNOMED,63300003,Measurement,0.8297192454338074,False,3019174,6303-2
34,0202030377,0.0,SUS,SEARCH FOR ANTI-ADENOVIRUS ANTIBODIES,1970-01-01,2099-12-31,,,,,,1.0,False,45768990,707545002
35,0202030407,0.0,SUS,SEARCH FOR ANTI-BRUCELLA ANTIBODIES,1970-01-01,2099-12-31,,46272089.0,SNOMED,710394009,Observation,0.3862325549125671,False,46272275,710609004
36,0202030717,0.0,SUS,SEARCH FOR ANTIBODIES AND/OR ANTIGEN OF RESPIRATORY SYNCYTIAL VIRUS,1970-01-01,2099-12-31,,4146228.0,SNOMED,34448000,Measurement,0.3499104380607605,False,4197481,313274005
37,0202030954,0.0,SUS,SEARCH FOR IGM ANTIBODIES AGAINST HERPES SIMPLEX VIRUS,1970-01-01,2099-12-31,,4246844.0,SNOMED,408218006,Measurement,0.7948494106531143,False,4025994,120748004
38,0202031063,0.0,SUS,BACTERIAL IMMUNO-ALLERGIC TESTS,1970-01-01,2099-12-31,,,,,,1.0,False,4208079,
39,0202031160,0.0,SUS,RAPID TESTS FOR SYPHILIS DIAGNOSIS,1970-01-01,2099-12-31,,3021461.0,LOINC,20507-0,Measurement,0.6816813051700592,False,4229096,40675008
40,0202031276,0.0,SUS,Adenosine Deaminase (ADA) Assay,1970-01-01,2099-12-31,,44808592.0,SNOMED,830451000000103,Measurement,0.5816372334957123,False,3037437,9404-5
41,0202031284,0.0,SUS,Anti-Beta-2 Glycoprotein I - IgG,1970-01-01,2099-12-31,,4133753.0,SNOMED,413001005,Measurement,0.6230936646461487,False,3018658,16135-6
42,0202031292,0.0,SUS,Anti-Beta-2-Glycoprotein I - IgM Assay,1970-01-01,2099-12-31,,4135562.0,SNOMED,413003008,Measurement,0.5813731551170349,False,3014300,16136-4
43,0202031306,0.0,SUS,Paroxysmal Nocturnal Hemoglobinuria Diagnosis and Reevaluation,1970-01-01,2099-12-31,,4248677.0,SNOMED,408595009,Measurement,0.5384460389614105,False,1175525,90735-2
44,0202031314,0.0,SUS,Anti-Acetylcholine Receptor (AChR) Antibody Assay,1970-01-01,2099-12-31,,4044814.0,SNOMED,122224000,Measurement,0.7737607061862946,False,3043403,33278-3
45,0202031322,0.0,SUS,Sirolimus Assay,1970-01-01,2099-12-31,,40482331.0,SNOMED,443572004,Measurement,0.6001828610897064,False,3021374,29247-4
46,0202031349,0.0,SUS,Molecular Biology Test for Detection of Mycobacterium leprae Markers in Skin or Nerve Biopsy Samples,1970-01-01,2099-12-31,,1259962.0,LOINC,104433-8,Measurement,0.4142159223556518,False,3001525,23247-0
