source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score
Crizotinibe,0.0,SUS,CRIZOTINIBE,1970-01-01,2099-12-31,,40242675,RxNorm,1148495,Drug,0.4486190676689148
Cemiplimabe,0.0,SUS,Cemeiplimab,1970-01-01,2099-12-31,,35200783,RxNorm,2058826,Drug,0.7233536541461945
Atezolizumabe,0.0,SUS,Altezolizumab,1970-01-01,2099-12-31,,3025049,LOINC,7156-3,Measurement,-0.07193434238433838
Panitumumabe,0.0,SUS,Panitumumab,1970-01-01,2099-12-31,,19100985,RxNorm,263034,Drug,0.9999976789654283
Alfapoetina,0.0,SUS,Alfapoetin,1970-01-01,2099-12-31,,3044142,LOINC,43996-8,Measurement,-0.09353303909301758
Docetaxel,0.0,SUS,Docetaxel,1970-01-01,2099-12-31,,1315942,RxNorm,72962,Drug,0.9999981646267315
Cloridrato de irinotecano tri-hidratado,0.0,SUS,Trihydrate Irinotecan Hydrochloride,1970-01-01,2099-12-31,,1367268,RxNorm,51499,Drug,0.45411384105682373
Acetato de megestrol,0.0,SUS,Megestrol acetate,1970-01-01,2099-12-31,,1300978,RxNorm,6703,Drug,0.9999982124739972
Ácido Trans-retinoico,0.0,SUS,Transretinoic acid,1970-01-01,2099-12-31,,903643,RxNorm,10753,Drug,0.7644882947206497
Ditosilato de lapatinibe,0.0,SUS,Lapatinib,1970-01-01,2099-12-31,,1359548,RxNorm,480167,Drug,0.9999987210982226
Leucovorin,0.0,SUS,Leucovorin,1970-01-01,2099-12-31,,1388796,RxNorm,6313,Drug,0.999998160297082
Ácido zoledrônico monoidratado,0.0,SUS,Monohydrate zoledronic acid,1970-01-01,2099-12-31,,1524674,RxNorm,77655,Drug,0.6128918826580048
Sulfato de vimblastina,0.0,SUS,Vimblastine sulfate,1970-01-01,2099-12-31,,19008264,RxNorm,11198,Drug,0.7290199398994446
Tacrolimo monoidratado,0.0,SUS,Monohydrate tacrolimo,1970-01-01,2099-12-31,,950637,RxNorm,42316,Drug,0.5731583535671234
Fosfato de fludarabina,0.0,SUS,Fludarabine phosphate,1970-01-01,2099-12-31,,1395557,RxNorm,24698,Drug,0.99999865652876
Clorambucila,0.0,SUS,Chlorambucila,1970-01-01,2099-12-31,,1390051,RxNorm,2346,Drug,0.6429059505462646
Sulfato de selumetinibe,0.0,SUS,Selumetinib Sulphate,1970-01-01,2099-12-31,,37499520,RxNorm,2289380,Drug,0.8805536329746246
Fotemustina,0.0,SUS,Photemustine,1970-01-01,2099-12-31,,1391846,RxNorm,6466,Drug,0.11460095643997192
Tioguanina,0.0,SUS,Thioguanin,1970-01-01,2099-12-31,,1437379,RxNorm,10485,Drug,0.8367065936326981
Mesilato de imatinibe,0.0,SUS,Imatinibe mesylate,1970-01-01,2099-12-31,,1304107,RxNorm,282388,Drug,0.8475077748298645
Cloridrato de tepotinibe monoidratado,0.0,SUS,Monohydrate tePotinib Hydrochloride,1970-01-01,2099-12-31,,739739,RxNorm,2477103,Drug,0.4837331771850586
Brigatinibe,0.0,SUS,Brigatinibe,1970-01-01,2099-12-31,,1594187,RxNorm,1921217,Drug,0.755937784910202
Esilato de nintedanibe,0.0,SUS,Nintedanib,1970-01-01,2099-12-31,,45775396,RxNorm,1592737,Drug,0.9999983754867117
Sulfato de bleomicina,0.0,SUS,Bleomycin sulfate,1970-01-01,2099-12-31,,1329241,RxNorm,1622,Drug,0.9999980538718773
Flutamida,0.0,SUS,Flutamide,1970-01-01,2099-12-31,,1356461,RxNorm,4508,Drug,0.9999979058109147
Blinatumomabe,0.0,SUS,Blinatumomab,1970-01-01,2099-12-31,,45892531,RxNorm,1597258,Drug,0.9999979149847604
Moxetumomabe pasudotox,0.0,SUS,MOXETUMOMABE PASDOTOX,1970-01-01,2099-12-31,,35200995,RxNorm,2099295,Drug,0.7070896327495575
Exemestano,0.0,SUS,Example,1970-01-01,2099-12-31,,45883564,LOINC,LA15331-4,Meas Value,0.19460415840148926
Decitabina,0.0,SUS,Decitabine,1970-01-01,2099-12-31,,19024728,RxNorm,15657,Drug,0.9824911784380674
Trastuzumabe,0.0,SUS,Trastuzumab,1970-01-01,2099-12-31,,1387104,RxNorm,224905,Drug,0.9999985867164014
Cloridrato de idarrubicina,0.0,SUS,Idarrubicin Hydrochloride,1970-01-01,2099-12-31,,19078097,RxNorm,5650,Drug,0.7235027849674225
Avelumabe,0.0,SUS,Avelumab,1970-01-01,2099-12-31,,1593273,RxNorm,1875534,Drug,0.9999983552561389
Vinorelbina,0.0,SUS,Vinorelbine,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,1.0
Erdafitinibe,0.0,SUS,ErdaFitinib,1970-01-01,2099-12-31,,1511250,RxNorm,2123125,Drug,0.4662904739379883
Hemitartarato de vinorelbina,0.0,SUS,Vinorelbine hemitatar,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.7544764578342438
Melfalana,0.0,SUS,Mellphalana,1970-01-01,2099-12-31,,4148454,SNOMED,30580006,Observation,0.09265542030334473
Ciclofosfamida monoidratada,0.0,SUS,Monohydrate cyclophosphamide,1970-01-01,2099-12-31,,1310317,RxNorm,3002,Drug,0.5694498419761658
Hemifumarato de cobimetinibe,0.0,SUS,Cobimetinib hemifumarate,1970-01-01,2099-12-31,,35605804,RxNorm,1722365,Drug,0.9999985687830986
Nilotinibe,0.0,SUS,Nilotinib,1970-01-01,2099-12-31,,1394023,RxNorm,662281,Drug,0.9999982155414955
Ditartarato de vinorelbina,0.0,SUS,Vinorelbine dictate,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.8054100871086121
Acalabrutinibe,0.0,SUS,ABAILABRUTINIBE,1970-01-01,2099-12-31,,792764,RxNorm,1986808,Drug,0.3455590009689331
Pemetrexede,0.0,SUS,Pemetrexe,1970-01-01,2099-12-31,,1304919,RxNorm,68446,Drug,0.3521730899810791
Asparaginase,0.0,SUS,Asparaginase,1970-01-01,2099-12-31,,19012585,RxNorm,1156,Drug,0.9999984096343724
Mitomicina,0.0,SUS,Mitomycin,1970-01-01,2099-12-31,,1389036,RxNorm,632,Drug,0.9999979474628162
Palbociclibe,0.0,SUS,Palbocyclibe,1970-01-01,2099-12-31,,45892075,RxNorm,1601374,Drug,0.4261358976364136
Pembrolizumabe,0.0,SUS,Pembrolizumab,1970-01-01,2099-12-31,,45775965,RxNorm,1547545,Drug,0.9999979456229084
Dasatinibe,0.0,SUS,Dasatinib,1970-01-01,2099-12-31,,1358436,RxNorm,475342,Drug,0.9999985921615462
Mitotano,0.0,SUS,Mitotane,1970-01-01,2099-12-31,,1309161,RxNorm,7004,Drug,0.9999983535390129
Mesna,0.0,SUS,Menna,1970-01-01,2099-12-31,,4269206,SNOMED,63071005,Observation,0.17340004444122314
Malato de sunitinibe,0.0,SUS,Sunitinibe Malato,1970-01-01,2099-12-31,,1336539,RxNorm,357977,Drug,0.7065455615520477
Mifamurtida,0.0,SUS,Myphamurt,1970-01-01,2099-12-31,,3001284,LOINC,12541-9,Measurement,-0.026498079299926758
Fluoruracila,0.0,SUS,Fluoruracil,1970-01-01,2099-12-31,,955632,RxNorm,4492,Drug,0.8096799254417419
Vinflunina,0.0,SUS,Vinflunin,1970-01-01,2099-12-31,,37003175,RxNorm,2462501,Drug,0.31758010387420654
Dimetilsulfóxido de trametinibe,0.0,SUS,Trametinib,1970-01-01,2099-12-31,,43532497,RxNorm,1425099,Drug,0.9999983767852427
Hidroxiureia,0.0,SUS,Hydroxyurea,1970-01-01,2099-12-31,,1377141,RxNorm,5552,Drug,0.9999979898316269
Cloridrato de anagrelida,0.0,SUS,Anagrelida Hydrochloride,1970-01-01,2099-12-31,,1381253,RxNorm,596724,Drug,0.7438740432262421
Gefitinibe,0.0,SUS,GEFITINIBE,1970-01-01,2099-12-31,,1319193,RxNorm,328134,Drug,0.36569058895111084
Axitinibe,0.0,SUS,Axitinib,1970-01-01,2099-12-31,,42709322,RxNorm,1242999,Drug,0.9999985712631769
Lorlatinibe,0.0,SUS,Lorlatinib,1970-01-01,2099-12-31,,35201733,RxNorm,2103164,Drug,0.9999983359714406
Cloridrato de ponatinibe,0.0,SUS,Ponatinibe Hydrochloride,1970-01-01,2099-12-31,,43013182,RxNorm,1364347,Drug,0.7437645196914673
Bevacizumabe,0.0,SUS,Bevacizumab,1970-01-01,2099-12-31,,1397141,RxNorm,253337,Drug,0.9999984689778785
Rituximabe,0.0,SUS,Rituximab,1970-01-01,2099-12-31,,1989759,LOINC,LA32650-6,Meas Value,0.9999985763779478
Dactinomicina,0.0,SUS,Dactinomycin,1970-01-01,2099-12-31,,1311443,RxNorm,3100,Drug,0.9999983549314493
Vemurafenibe,0.0,SUS,Vemurafenib,1970-01-01,2099-12-31,,40241937,RxNorm,1147220,Drug,0.9999982430587124
Cloridrato de daunorrubicina,0.0,SUS,Daunorrubicin Hydrochloride,1970-01-01,2099-12-31,,1311799,RxNorm,3109,Drug,0.812172144651413
Cloridrato de alectinibe,0.0,SUS,Alectinib Hydrochloride,1970-01-01,2099-12-31,,1076242,SNOMED,1336999008,Meas Value,-0.10813009738922119
Maleato de neratinibe,0.0,SUS,Neratinibe Maleato,1970-01-01,2099-12-31,,793846,RxNorm,1940643,Drug,0.6690943539142609
