source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score,source_code_description_original
10101012,10101012,TUSS,Office consultation (normal or pre-scheduled hours),2009-02-13,,,45878568,LOINC,LA7553-6,Meas Value,0.34372663497924805,Consulta em consultório (no horário normal ou preestabelecido)
10101020,10101020,TUSS,Home consultation,2009-02-13,,,45878568,LOINC,LA7553-6,Meas Value,0.6915375590324402,Consulta em domicílio
10101039,10101039,TUSS,Emergency room consultation,2009-02-13,,,3015595,LOINC,8647-0,Observation,0.6750036478042603,Consulta em pronto socorro
10102019,10102019,TUSS,Hospital visit (inpatient),2009-02-13,,,45885231,LOINC,LA12769-8,Meas Value,0.6605398654937744,Visita hospitalar (paciente internado)
10103015,10103015,TUSS,Newborn care in the nursery,2009-02-13,,,4222294,SNOMED,8390008,Observation,0.8211003690958023,Atendimento ao recém-nascido em berçário
10103023,10103023,TUSS,Newborn care in the delivery room (normal or low-risk operative delivery),2009-02-13,,,4046029,SNOMED,133905007,Observation,0.5406159162521362,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco)
10103031,10103031,TUSS,Newborn care in the delivery room (normal or high-risk operative delivery),2009-02-13,,,4046029,SNOMED,133905007,Observation,0.5202725529670715,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de alto risco)
10104011,10104011,TUSS,Daily intensivist care (per day and per patient),2009-02-13,,,44786856,LOINC,74200-7,Observation,0.4199103116989136,Atendimento do intensivista diarista (por dia e por paciente)
10104020,10104020,TUSS,Intensivist medical care in general or pediatric ICU (12-hour shift - per patient),2009-02-13,,,4140796,SNOMED,305798009,Observation,0.31264442205429077,Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente)
10105034,10105034,TUSS,"Out-of-hospital ground transport of critically ill patients, 1st hour - starting from the physician's dispatch - medical accompaniment",2009-02-13,,,1990560,LOINC,LA32988-0,Meas Value,0.38078999519348145,"Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico"
